Episode #	Series #	Title	Director	Writer	Original airdate	Viewers (in millions)
371	4	" The Apprentice "	Edward Bennett Category:Articles with hCards	Martha Hillier Category:Articles with hCards	6 Cannot handle non-empty timestamp argument! 2007	5.95
375	8	"Mirror Man"	Robert Del Maestro Category:Articles with hCards	Jake Riddell Category:Articles with hCards	4 Cannot handle non-empty timestamp argument! 2007	6.27
379	12	"For Your Consideration"	Christopher King Category:Articles with hCards	Matthew Evans Category:Articles with hCards	1 Cannot handle non-empty timestamp argument! 2008	6.15
380	13	"Queen of Hearts"	Christopher King Category:Articles with hCards	Martha Hillier Category:Articles with hCards	8 Cannot handle non-empty timestamp argument! 2008	6.04
384	17	"Final Cut"	Indra Bhose Category:Articles with hCards	Joe Ainsworth Category:Articles with hCards	5 Cannot handle non-empty timestamp argument! 2008	6.47
388	21	"We Serve All Who Come To Us"	Fraser MacDonald Category:Articles with hCards	Mark Cairns Category:Articles with hCards	4 Cannot handle non-empty timestamp argument! 2008	5.74
393	26	"All This Useless Beauty"	Dominic Leclerc Category:Articles with hCards	Gert Thomas Category:Articles with hCards	1 Cannot handle non-empty timestamp argument! 2008	5.85
394	27	"Pants on Fire"	Dominic Leclerc Category:Articles with hCards	Joe Ainsworth Category:Articles with hCards	8 Cannot handle non-empty timestamp argument! 2008	5.42
402	35	"Natural Justice"	Rob Evans Category:Articles with hCards	Al Smith Category:Articles with hCards	3 Cannot handle non-empty timestamp argument! 2008	5.17
403	36	"Love You"	Farren Blackburn Category:Articles with hCards	Martin Jameson Category:Articles with hCards	5 Cannot handle non-empty timestamp argument! 2008	4.74
406	39	"Change of Heart"	Daikin Marsh Category:Articles with hCards	David Lawrence Category:Articles with hCards	1 Cannot handle non-empty timestamp argument! 2008	5.04
407	40	"Only Believe"	Daikin Marsh Category:Articles with hCards	David Lawrence Category:Articles with hCards	8 Cannot handle non-empty timestamp argument! 2008	5.61
411	44	"Eighteen and a Half"	Daikin Marsh Category:Articles with hCards	Graham Mitchell Category:Articles with hCards	5 Cannot handle non-empty timestamp argument! 2008	5.15
414	47	"To Govern a Kingdom"	James Larkin Category:Articles with hCards	Jake Riddell Category:Articles with hCards	2 Cannot handle non-empty timestamp argument! 2008	4.83
415	48	"Whatever It Takes"	James Larkin Category:Articles with hCards	Phillip Gawthorne Category:Articles with hCards	9 Cannot handle non-empty timestamp argument! 2008	5.28
