Pick	Player	Position	Nationality	NHL team	College/junior/club team
81	Antti-Jussi Niemi	Defence	Finland	Ottawa Senators	Jokerit (Finland)
82	Joey Tetarenko	Right Wing	Canada	Florida Panthers (from San Jose)	Portland Winterhawks (WHL)
83	Tyrone Garner	Goaltender	Canada	New York Islanders	Oshawa Generals (OHL)
85	Justin Davis	Right Wing	Canada	Washington Capitals (from Dallas via Los Angeles)	Kingston Frontenacs (OHL)
86	Jason Sessa	Right Wing	United States	Toronto Maple Leafs (from Edmonton)	Lake Superior State University (NCAA)
87	Kurt Walsh	Right Wing	Canada	Buffalo Sabres	Owen Sound Platers (OHL)
88	Craig MacDonald	Centre	Canada	Hartford Whalers	Harvard University (NCAA)
89	Toni Lydman	Defence	Finland	Calgary Flames (compensatory)	Reipas Lahti (Finland)
90	Mike Hurley	Right Wing	Canada	Dallas Stars (from Anaheim via Washington)	Tri-City Americans (WHL)
91	Josef Boumedienne	Defence	Sweden	New Jersey Devils	Huddinge IK (Sweden)
93	Jonas Soling	Left Wing	Sweden	Vancouver Canucks	Huddinge IK (Sweden)
94	Christian Lefebvre	Defence	Canada	Calgary Flames	Granby Prédateurs (QMJHL)
95	Jon Zukiwsky	Centre	Canada	St. Louis Blues	Red Deer Rebels (WHL)
96	Eric Belanger	Centre	Canada	Los Angeles Kings (from Toronto)	Beauport Harfangs (QMJHL)
97	Andrei Petrakov	Left Wing	Russia	St. Louis Blues (from Tampa Bay)	Yekaterinburg Automobilist (Russia)
98	Ben Storey	Defence	Canada	Colorado Avalanche (from Washington)	Harvard University (NCAA)
99	Etienne Drapeau	Centre	Canada	Montreal Canadiens	Beauport Harfangs (QMJHL)
100	Trent Whitfield	Centre	Canada	Boston Bruins	Spokane Chiefs (WHL)
101	Josh MacNevin	Defence	Canada	New Jersey Devils (compensatory)	Vernon Vipers ( BCJHL )
102	Matt Bradley	Right Wing	Canada	San Jose Sharks (from Florida)	Kingston Frontenacs (OHL)
103	Vladimir Antipov	Left Wing	Russia	Toronto Maple Leafs (from Chicago via Winnipeg)	Yaroslavl Torpedo (Russia)
104	Steve Wasylko	Centre	Canada	Hartford Whalers (from New York Rangers)	Detroit Whalers (OHL)
105	Michal Rozsival	Defence	Czech Republic	Pittsburgh Penguins	HC Dukla Jihlava (Czech.)
106	Mike Martone	Defence	Canada	Buffalo Sabres (from Philadelphia via San Jose)	Peterborough Petes (OHL)
107	Randy Petruk	Goaltender	Canada	Colorado Avalanche	Kamloops Blazers (WHL)
