Season	Div.	Tms.	Pos.	Attendance/G	Emperor's Cup
1994	J1	12	5	17,836	Winner
1995	J1	14	11	16,111	2nd Round
1996	J1	16	11	10,483	Quarter-final
1997	J1	17	8	7,841	Quarter-final
1998	J1	18	11	10,158	4th Round
1999	J1	16	16	7,388	3rd Round
2000	J2	11	8	4,968	3rd Round
2001	J2	12	8	4,112	2nd Round
2002	J2	12	5	4,551	4th Round
2003	J2	12	10	4,731	4th Round
2004	J2	12	10	4,691	5th Round
2005	J2	12	7	5,746	3rd Round
2006	J2	13	11	5,365	4th Round
2007	J2	13	6	4,677	4th Round
2008	J2	15	5	5,994	3rd Round
2009	J2	18	3	7,273	2nd Round
2010	J1	18	18	11,095	3rd Round
2011	J2	20	14	6,943	Quarter-final
2012	J2	22	2	6,852	3rd Round
