Date	Tournament	Winning score	To par	Margin of victory
17 May 1998	McDonald's LPGA Championship	65-68-72-68=273	–11	3 strokes
5 Jul 1998	U.S. Women's Open	69-70-75-76=290	+6	Playoff
12 Jul 1998	Jamie Farr Kroger Classic	71-61-63-66=261	–23	9 strokes
26 Jul 1998	Giant Eagle LPGA Classic	65-69-67=201	–15	1 stroke
20 Jun 1999	ShopRite LPGA Classic	63-69-66=198	–15	2 strokes
4 Jul 1999	Jamie Farr Kroger Classic	68-69-68-71=276	–8	Playoff
12 Sep 1999	Samsung World Championship of Women's Golf	67-71-70-72=280	–8	1 stroke
14 Nov 1999	PageNet Championship	66-66-74-70=276	–12	Playoff
16 Jan 2001	YourLife Vitamins LPGA Classic	71-68-64=203	–13	4 strokes
22 Apr 2001	Longs Drugs Challenge	66-71-71=208	–8	2 strokes
8 Jul 2001	Jamie Farr Kroger Classic	70-62-69-68=269	–15	2 strokes
5 Aug 2001	Weetabix Women's British Open	71-70-70-66=277	–11	2 strokes
30 Sep 2001	AFLAC Champions	70-67-64-71=272	–16	5 strokes
7 Apr 2002	The Office Depot Championship	68-68-73=209	–7	1 stroke
9 Jun 2002	McDonald's LPGA Championship	71-70-68-70=279	–5	3 strokes
25 Aug 2002	First Union Betsy King Classic	70-68-66-63=267	–21	3 strokes
13 Oct 2002	Mobile LPGA Tournament of Champions	65-70-67-66=268	–20	4 strokes
27 Oct 2002	Sports Today CJ Nine Bridges Classic	65-76-72=213	–3	6 strokes
23 Mar 2003	Safeway PING	65-68-68-64=265	–23	1 stroke
27 Apr 2003	Chick-fil-A Charity Championship	71-65-64=200	–16	Playoff
18 Aug 2003	Jamie Farr Kroger Classic	69-67-64-71=271	–13	2 strokes
9 May 2004	Michelob ULTRA Open at Kingsmill	70-71-69-65=275	–9	2 strokes
11 Jun 2006	McDonald's LPGA Championship	71-69-71-69=280	–8	Playoff
15 Jul 2007	Jamie Farr Owens Corning Classic	63-68-69-67=267	–17	3 strokes
16 May 2010	Bell Micro LPGA Classic	69-66-68=203	–13	Playoff
