Year	Competition	Venue	Position	Event
2007	World Cross Country Championships	Mombasa , Kenya	23rd	Junior race
2007	World Youth Championships	Ostrava , Czech Republic	1st	3000 m
2008	World Junior Championships	Bydgoszcz , Poland	1st	3000 m
2008	Commonwealth Youth Games	Pune , India	1st	3000 m
2009	World Cross Country Championships	Amman , Jordan	2nd	Junior race
2009	World Cross Country Championships	Amman , Jordan	2nd	Junior team
2009	African Junior Championships	Bambous , Mauritius	1st	3000 m
2009	African Junior Championships	Bambous , Mauritius	2nd	5000 m
2010	World Cross Country Championships	Bydgoszcz , Poland	1st	Junior race
2010	World Cross Country Championships	Bydgoszcz , Poland	1st	Junior team
2010	World Junior Championships	Moncton , Canada	1st	3000 m
2010	World Junior Championships	Moncton , Canada	2nd	5000 m
