Place	Player	Country	Score	To par
1	Nick Price	Zimbabwe	70-67=137	−5
2	Seve Ballesteros	Spain	67-71=138	−4
T3	Nick Faldo	England	71-69=140	−2
T3	Craig Stadler	United States	72-68=140	−2
5	Andy Bean	United States	71-70=141	−1
T6	Fred Couples	United States	73-69=142	E
T6	Sandy Lyle	Scotland	73-69=142	E
T6	Bob Tway	United States	71-71=142	E
T9	Isao Aoki	Japan	72-71=143	+1
T9	Chip Beck	United States	72-71=143	+1
T9	Howard Clark	England	71-72=143	+1
T9	Brad Faxon	United States	69=74=143	+1
T9	Gary Koch	United States	71-72=143	+1
T9	Don Pooley	United States	70-73=143	+1
T9	Wayne Riley	Australia	72-71=143	+1
T9	Eduardo Romero	Argentina	72-71=143	+1
T9	Peter Senior	Australia	70-73=143	+1
T9	Andrew Sherborne	England	71-72=143	+1
