Place	Player	Country	Score	To par
T1	Seve Ballesteros	Spain	69-74-69=212	–1
T1	Tom Watson	United States	72-70-70=212	–1
T3	Larry Nelson	United States	75-73-65=213	E
T3	Calvin Peete	United States	75-68-70=213	E
5	Raymond Floyd	United States	72-70-72=214	+1
6	Gil Morgan	United States	73-72-70=215	+2
T7	Andy North	United States	73-71-72=216	+3
T7	Hal Sutton	United States	73-70-73=216	+3
T9	Ralph Landrum	United States	75-73-69=217	+4
T9	Roger Maltbie	United States	76-72-69=217	+4
T9	Scott Simpson	United States	73-71-73=217	+4
