Rank	Player	County	Tally	Total	Opposition
1	Eoin Kelly	Waterford	2-13	19	Offaly
2	Joe Canning	Galway	2-12	18	Cork
3	Brian Carroll	Offaly	0-16	16	Laois
4	Eoin Kelly	Waterford	1-10	13	Tipperary
5	David O'Callaghan	Dublin	1-9	12	Wexford
5	Ben O'Connor	Cork	0-12	12	Galway
5	Eoin Kelly	Waterford	1-9	12	Kilkenny
5	Joe Canning	Galway	2-6	12	Antrim
9	Henry Shefflin	Kilkenny	0-11	11	Offaly
9	Eoin Kelly	Waterford	1-8	11	Wexford
9	Henry Shefflin	Kilkenny	0-11	11	Cork
9	Joe Bergin	Offaly	3-2	11	Limerick
13	Dave Bennett	Waterford	0-10	10	Clare
13	David O'Callaghan	Dublin	0-10	10	Cork
13	Henry Shefflin	Kilkenny	1-7	10	Wexford
13	Mark Flaherty	Clare	1-7	10	Waterford
13	Eoin Kelly	Tipperary	1-7	10	Cork
13	Eddie Brennan	Kilkenny	2-4	10	Waterford
19	Noel Costello	Laois	0-9	9	Offaly
19	David O'Callaghan	Dublin	0-9	9	Wexford
19	Joe Canning	Galway	0-9	9	Laois
19	Brian Carroll	Offaly	0-9	9	Waterford
19	David O'Callaghan	Dublin	1-6	9	Westmeath
19	Willie Hyland	Laois	2-3	9	Offaly
19	Eoin Kelly	Waterford	2-3	9	Antrim
