name	pos.	caps	goals	club
Olle Åhlund	MF	1	0	Degerfors IF
Sune "Mona-Lisa" Andersson	MF	3	1	AIK Solna
Magnus "Skjorta" Bergström	GK	1	0	Degerfors IF
Rune "Killing" Emanuelsson	MF	2	0	IFK Göteborg
Gunnar "Il Professore" Gren	FW	5	2	IFK Göteborg
Kjell Hjertsson	MF	1	0	Malmö FF
Egon "Hemliga" Jönsson	FW	1	2	Malmö FF
Bror Karlsson	FW	1	1	Hälsingborgs IF
Eric "Prosten" Karlsson	FW	1	1	AIK Solna
Börje Leander	DF/MF	4	2	AIK Solna
Nils "Lidas"/"Greven" Liedholm	FW	3	1	IFK Norrköping
Torsten "Lindy" Lindberg	GK	3	0	IFK Norrköping
Lennart Lindskog	FW	1	1	Degerfors IF
Hans Malmström	DF	1	0	Malmö FF
Malte "Svarta Blixten" Mårtensson	FW	1	1	Hälsingborgs IF
Sture Mårtensson	MF	1	0	Malmö FF
Erik Nilsson	DF	1	0	Malmö FF
Gustaf Nilsson	FW	1	3	Malmö FF
Harry Nilsson	DF	5	0	AIK Solna
Stellan Nilsson	FW	2	0	Malmö FF
Bertil Nordahl	MF	2	0	Degerfors IF
Gunnar Nordahl	FW	4	8	IFK Norrköping
Knut Nordahl	FW/DF	5	1	IFK Norrköping
Arne Nyberg	FW	2	1	IFK Göteborg
Stig Nyström	FW	4	1	Djurgårdens IF Stockholm
Sven "Skuggan" Persson	FW	1	1	IFK Norrköping
Kjell Rosén	MF	5	1	Malmö FF
Gustav "Gurra" Sjöberg	GK	2	0	AIK Solna
Börje Tapper	FW	1	0	Malmö FF
John "Nonne" Wikdahl	DF	1	0	Hälsingborgs IF
