Pick	Player	Team	Position	School
32	Nathan Haynes	Oakland Athletics	OF	Pinole Valley HS (Hercules, California)
33	Kyle Kane	Chicago White Sox	RHP	Saddleback College
34	Brett Caradonna	Chicago White Sox	OF	El Capitan HS (San Diego, California)
35	Mark Fischer	Boston Red Sox	OF	Georgia Tech
36	Ntema Ndungidi	Baltimore Orioles	OF	Collège Édouard-Montpetit (Montreal, Quebec)
37	Chris Stowe	Montreal Expos	P	Chancellor HS (Fredericksburg, Virginia)
38	Scott Hodges	Montreal Expos	3B , OF	Henry Clay HS (Lexington. Kentucky)
39	Jason Romano	Texas Rangers	3B	Hillsborough HS (Tampa, Florida)
40	Ryan Bradley	New York Yankees	P	Arizona State University
41	Jason Fitzgerald	Cleveland Indians	3B , OF	Tulane University
42	Denny Wagner	Oakland Athletics	P	Virginia Tech
43	Aaron Myette	Chicago White Sox	P	Central Arizona College
44	Bryan Hebson	Montreal Expos	P	Auburn University
45	Thomas Pittman	Montreal Expos	1B	East St. John HS (Garyville, Louisiana)
46	Jim Parque	Chicago White Sox	P	UCLA
47	T.J. Tucker	Montreal Expos	P	River Ridge HS (New Port Richey, Florida)
48	Shane Arthurs	Montreal Expos	P	Westmoore HS (Oklahoma City, Oklahoma)
49	Dan McKinley	San Francisco Giants	OF	Arizona State University
50	Matthew LeCroy	Minnesota Twins	C	Clemson University
51	Rocky Biddle	Chicago White Sox	P	Long Beach State University
52	Tootie Myers	Montreal Expos	OF	Petal HS (Petal, Mississippi)
