Celebrity	Known for	Entered	Exited	Finished
Dougie Poynter	McFly bassist	Day 1	Day 21	1st
Mark Wright	The Only Way Is Essex star	Day 1	Day 21	2nd
Fatima Whitbread	Former Olympic athlete	Day 1	Day 20	3rd
Antony Cotton	Actor (plays Sean Tully in Coronation Street )	Day 1	Day 20	4th
Willie Carson	Former jockey	Day 1	Day 19	5th
Crissy Rock	Benidorm actress and comedian	Day 1	Day 18	6th
Emily Scott	Model and DJ	Day 5	Day 17	7th
Jessica-Jane Clement	TV presenter, actress and model	Day 1	Day 16	8th
Lorraine Chase	Actress (played Steph Forsythe in Emmerdale )	Day 1	Day 15	9th
Pat Sharp	DJ, television and radio presenter	Day 3	Day 14	10th
Sinitta	Singer and reality-TV judge	Day 3	Day 13	11th
Stefanie Powers	Hart to Hart actress	Day 1	Day 12	12th
Freddie Starr	Comedian and impressionist	Day 1	Day 3	13th
