#	Episode	Air Date	Time slot (EST)	Rating	Share	18-49 (Rating/Share)	Viewers (m)	Rank (Overall)
1	"Pilot"	September 27, 2007	Thursday, 10:00 P.M	7.8	13	4.7/13	11.10	#29
2	"Tall, Dark and Hairless"	October 4, 2007	Thursday, 10:00 P.M.	6.1	10	3.7/10	10.14	#50
3	"The Good, the Bad and the Really Ugly"	October 11, 2007	Thursday, 10:00 P.M.	6.3	11	3.9/11	9.28	#53
4	"Three's a Crowd"	October 18, 2007	Thursday, 10:00 P.M.	6.0	10	3.3/9	8.34	#53
5	"Greatest Amerimart Hero"	October 25, 2007	Thursday, 10:00 P.M.	5.7	9	3.3/7	8.08	#61
6	"Car Trouble"	November 1, 2007	Thursday, 10:00 P.M.	6.2	10	3.7/10	7.53	#54
7	"Who's Your Daddy"	November 8, 2007	Thursday, 10:00 P.M.	5.9	10	3.6/9	8.62	#59
8	"The Way We Weren't"	November 29, 2007	Thursday, 10:00 P.M.	4.1	7	2.4/7	5.98	#79
9	"The Better Man"	January 10, 2008	Thursday, 10:00 P.M.	4.7	8	2.6/8	6.76	#52
10	"Sex Be Not Proud"	January 17, 2008	Thursday, 10:00 P.M.	3.5	6	1.8/5	4.78	#69
