Team	Head coach	Team captain	Kit maker	Shirt sponsor	Past Season
Esteghlal	Parviz Mazloomi	Farhad Majidi	Uhlsport	Tehran Municipality & City Bank	3rd
Foolad	Majid Jalali	Saeed Ramezani	Daei Sport	Foolad Khuzestan Co.	10th
Malavan	Farhad Pourgholami	Pejman Nouri	Merooj	Anzali Free Zone	12th
Mes Kerman	Samad Marfavi	Farzad Hosseinkhani	Uhlsport	Gashte Gole Yas Travel Agency	9th
Naft Tehran	Hossein Faraki	Darius Mikaeili	Daei Sport	National Iranian Oil Company	Promoted
Pas Hamedan	Ali Asghar Modir Roosta	Saman Safa	JEJ	Unsponsored	14th
Paykan	Hamid Alidousti	Rahman Rezaei	Merooj	Iran Khodro	11th
Persepolis	Ali Daei	Karim Bagheri	Uhlsport	Tehran Municipality & City Bank	4th
Rah Ahan	Rasoul Korbekandi	Ebrahim Karimi	Aghili	RAJA	15th
Saba Qom	Abdollah Veisi	Sohrab Bakhtiarizadeh	Daei Sport	Varna	6th
Saipa	Mohammad Mayeli Kohan	Ebrahim Sadeghi	Nahangi	SAIPA	8th
Sanat Naft	Gholam Hossein Peyrovani	Hassan Houri	Daei Sport	National Iranian Oil Company	Promoted
Sepahan	Amir Ghalenoei	Moharram Navidkia	Lotto	Foolad Mobarakeh Complex	Champion
Shahin	Hamid Estili	Reza Baziari	Nahangi	Unsponsered	13th
Shahrdari Tabriz	Hamid Derakhshan	Ebrahim Abarghouei	Uhlsport	City Bank	Promoted
Steel Azin	Mahmoud Yavari	Mehdi Mahdavikia	Umbro	Steel Azin Company	5th
Tractor Sazi	Faraz Kamalvand	Mohammad Nosrati	Uhlsport	Hamrah Aval & Bank Sepah	7th
