Outcome	Date	Tournament	Surface	Opponent in the Final	Score
Winner	11 July 2005	Istanbul , Turkey	Hard	Radana Holušová	6-4 6-3
Runner-up	21 Nov 2005	Ashkelon , Israel	Hard	Sharon Fichman	1-6 1-6
Runner-up	26 May 2008	Gaziantep , Turkey	Hard	Cagla Buyukakcay	5-7 4-6
Winner	02 June 2008	Izmir , Turkey	Hard	Vivian Segnini	6-2 7-6 (5)
Winner	09 June 2008	Istanbul , Turkey	Hard	Ekaterine Gorgodze	6-4 7-6 (1)
Winner	13 July 2009	Izmir , Turkey	Hard	Sandra Zaniewska	6-0 6-4
Winner	02 Aug 2010	Gaziantep , Turkey	Hard	Jade Hopper	6-4 6-4
Winner	09 Aug 2010	Istanbul , Turkey	Hard	Magali De Lattre	6-2 5-0 RET
Runner-up	11 Feb 2013	Leimen , Germany	Hard (i)	Julia Kimmelmann	4-6 3-6
Winner	15 July 2013	Woking , Great Britain	Hard	Tara Moore	3-6 7-5 7-6 (10)
