Tournament	2007	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	Q2	Q3	1R	1R	3R	2R
French Open	Q3	Q2	2R	1R	3R	2R
Wimbledon	Q3	1R	Q1	1R	2R	1R
US Open	Q1	Q3	1R	3R	1R	1R
Win–Loss	0–0	0–1	1–3	2–4	5–4	2–4
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	A	2R	2R	A	2R
Miami Masters	A	A	1R	3R	2R	1R
Monte Carlo Masters	A	A	A	A	1R	Q1
Rome Masters	A	A	A	A	2R	Q1
Madrid Masters	A	A	A	A	3R	1R
Canada Masters	A	A	A	2R	2R	1R
Cincinnati Masters	A	A	A	1R	1R	1R
Shanghai Masters	NMS	NMS	A	1R	A	Q2
Paris Masters	A	A	Q2	2R	2R	A
Win–Loss	0–0	0–0	1–2	5–6	6–7	1–5
Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics	Career Statistics
Titles–Finals	0–0	1–0	1–0	2–0	0–0	0–0
Year-End Ranking	199	92	60	46	62	103
