Player	Position	Date of Birth (Age)	Caps	Club/province
Carlo Festuccia	Hooker	20 June 1980	39	Gran Parma
Leonardo Ghiraldini	Hooker	26 December 1984	5	Calvisano
Fabio Ongaro	Hooker	23 September 1977	49	Saracens
Matías Agüero	Prop	13 February 1981	7	Viadana
Martin Castrogiovanni	Prop	21 October 1981	45	Leicester Tigers
Andrea Lo Cicero	Prop	7 May 1976	67	L'Aquila
Salvatore Perugini	Prop	6 March 1978	44	Toulouse
Valerio Bernabò	Lock	3 March 1984	11	Calvisano
Marco Bortolami ( c )	Lock	12 June 1980	61	Gloucester
Carlo Del Fava	Lock	1 July 1981	21	Bourgoin
Santiago Dellapè	Lock	9 May 1978	44	Biarritz Olympique
Mauro Bergamasco	Flanker	1 May 1979	58	Stade Français
Silvio Orlando	Flanker	9 February 1981	13	Benetton Treviso
Josh Sole	Flanker	15 February 1980	21	Viadana
Alessandro Zanni	Flanker	31 January 1984	16	Calvisano
Sergio Parisse	Number 8	13 September 1983	42	Stade Français
Manoa Vosawai	Number 8	12 August 1983	2	Overmach Parma
Paul Griffen	Scrum-half	30 March 1975	35	Calvisano
Alessandro Troncon ( vc )	Scrum-half	6 September 1973	97	Clermont Auvergne
Roland de Marigny	Fly-half	17 November 1975	17	Calvisano
Ramiro Pez	Fly-half	6 December 1978	38	Bayonne
Mirco Bergamasco	Centre	23 February 1983	44	Stade Français
Gonzalo Canale	Centre	11 November 1982	33	Clermont Auvergne
Andrea Masi	Centre	30 March 1981	31	Biarritz Olympique
Pablo Canavosio	Wing	26 December 1981	16	Castres Olympique
Matteo Pratichetti	Wing	27 July 1985	7	Calvisano
Kaine Robertson	Wing	29 October 1980	23	Viadana
Marko Stanojevic	Wing	1 October 1979	6	Bristol
David Bortolussi	Fullback	21 July 1981	10	Montpellier Hérault
Ezio Galon	Fullback	22 July 1977	11	Overmach Parma
