-	Club	Played	Won	Drawn	Lost	Points For	Points Against	Points Difference	Tries For	Tries Against	Try Bonus	Losing Bonus	Points
1	Leicester Tigers (C)	22	18	1	3	571	346	225	60	25	7	1	82
2	London Wasps	22	16	0	6	663	428	235	77	37	7	3	74
3	Bath	22	14	0	8	680	430	250	72	37	9	5	70
4	Northampton Saints	22	13	0	9	518	463	55	45	45	3	4	59
5	Saracens	22	12	0	10	589	501	88	63	48	6	4	58
6	Newcastle Falcons	22	11	0	11	554	568	-14	57	65	7	6	57
7	Gloucester	22	10	0	12	473	526	-53	43	45	3	5	48
8	London Irish	22	10	1	11	476	576	-100	36	60	1	2	45
9	Bristol	22	9	1	12	443	492	-49	34	36	1	5	44
10	Sale Sharks	22	8	1	13	561	622	-61	56	67	6	3	43
11	Harlequins	22	7	0	15	440	538	-98	44	48	3	7	38
