Member countries	Population	Area (km²)	GDP (billion US$)	GDP per capita (US$)	Languages
Cyprus	775927	9250	11.681	15054	Greek Turkish
Czech Republic	10246178	78866	105.248	10272	Czech
Estonia	1341664	45226	22.384	16684	Estonian
Hungary	10032375	93030	102,183	10185	Hungarian
Latvia	2306306	64589	24.826	10764	Latvian
Lithuania	3607899	65200	31.971	8861	Lithuanian
Malta	396851	316	5.097	12843	English Maltese
Poland	38580445	311904	316.438	8202	Polish
Slovakia	5423567	49036	42.800	7810	Slovak
Slovenia	2011473	20273	29.633	14732	Slovene
Accession countries	74722685	737690	685.123	9169	10 new
Existing members (2004)	381781620	3367154	7,711.871	20200	11
