Episode number Production number	Title	Original airing	Rating	Share	Rating/share (18–49)	Total viewers (in millions)
1 1-01	Patriarchy	September 24, 2006	11.0	17	6.2	16.10
2 1-02	An Act of Will	October 1, 2006	9.1	15	5.5	13.90
3 1-03	Affairs of State	October 8, 2006	8.6	14	5.3	13.10
4 1-04	Family Portrait	October 15, 2006	8.3	14	4.9	12.00
5 1-05	Date Night	October 22, 2006	8.6	13	5.0	12.10
6 1-06	For the Children	October 29, 2006	9.1	14	5.5	12.67
7 1-07	Northern Exposure	November 5, 2006	8.7	14	5.3	13.73
8 1-08	Mistakes Were Made, Part 1	November 12, 2006	8.9	15	5.5	13.10
9 1-09	Mistakes Were Made, Part 2	November 19, 2006	8.9	15	5.5	13.21
10 1-10	Light the Lights	December 10, 2006	7.2	12	4.0	10.47
11 1-11	Family Day	January 7, 2007	8.0	13	4.6	12.06
12 1-12	Sexual Politics	January 14, 2007	8.2	13	4.8	12.46
13 1-13	Something Ida This Way Comes	January 21, 2007	8.2	13	4.6	11.95
14 1-14	Valentine's Day Massacre	February 11, 2007	7.6	12	4.5	11.31
15 1-15	Love is Difficult	February 18, 2007	8.0	13	4.6	11.78
16 1-16	The Other Walker	March 4, 2007	8.0	13	4.7	11.78
17 1-17	All in the Family	April 1, 2007	6.5	11	3.4	9.13
18 1-18	Three Parties	April 8, 2007	7.4	12	4.1	10.98
19 1-19	Game Night	April 15, 2007	7.7	13	4.5	11.49
20 1-20	Bad News	April 29, 2007	7.9	13	4.4	11.52
21 1-21	Grapes of Wrath	May 6, 2007	7.6	13	4.1	10.83
22 1-22	Favorite Son	May 13, 2007	8.1	14	4.3	11.92
