Race	Dist (f)	Course	Runners	Placing	Margin	Jockey	Trainer
South Norfolk Caterers Maiden Stakes	8	Yarmouth	18	1	5	Frankie Dettori	David Loder
Doncaster Sponsorship Club Stakes	8	Doncaster	4	1	9	Frankie Dettori	Saeed Bin Suroor
Predominate Stakes	10	Goodwood	6	1	3.5	Frankie Dettori	Saeed Bin Suroor
Derby	12	Epsom	16	9	9.25	Frankie Dettori	Saeed Bin Suroor
Prix Eugene Adam	10	Maisons-Laffitte	5	1	3	Frankie Dettori	Saeed Bin Suroor
Prix Jacques le Marois	8	Deauville	5	1	2.5	Frankie Dettori	Saeed Bin Suroor
Queen Elizabeth II Stakes	8	Ascot	4	1	6	Frankie Dettori	Saeed Bin Suroor
Maktoum bin Rashid al Maktoum Challenge	10	Nad Al Sheba	6	1	4.5	Frankie Dettori	Saeed Bin Suroor
Dubai World Cup	10	Nad Al Sheba	13	1	6	Frankie Dettori	Saeed Bin Suroor
Prince of Wales's Stakes	10	Ascot	6	1	8	Jerry Bailey	Saeed Bin Suroor
