Place	Player	Country	Score	To par
1	Jean van de Velde	France	75-68-70=213	E
T2	Justin Leonard	United States	73-74-71=218	+5
T2	Craig Parry	Australia	76-75-67=218	+5
T4	Andrew Coltart	Scotland	74-74-72=220	+7
T4	David Frost	South Africa	80-69-71=220	+7
T4	Tiger Woods	United States	74-72-74=220	+7
T7	Ángel Cabrera	Argentina	75-69-77=221	+8
T7	Greg Norman	Australia	76-70-75=221	+8
T9	Bernhard Langer	Germany	72-77-73=222	+9
T9	Miguel Ángel Martín	Spain	74-76-72=222	+9
T9	Len Mattiace	United States	73-74-75=222	+9
T9	Colin Montgomerie	Scotland	74-76-72=222	+9
T9	Frank Nobilo	New Zealand	76-76-70=222	+9
