Place	Player	Country	Score	To par
1	Greg Norman	Australia	70-72-68=210	–6
T2	Seve Ballesteros	Spain	71-68-72=211	–5
T2	Bernhard Langer	West Germany	74-68-69=211	–5
T2	Donnie Hammond	United States	73-71-67=211	–5
T2	Nick Price	Zimbabwe	79-69-63=211	–5
T6	Tsuneyuki Nakajima	Japan	70-71-71=212	–4
T6	Tom Kite	United States	70-74-68=212	–4
T6	Tom Watson	United States	70-74-68=212	–4
T9	David Edwards	United States	71-71-72=214	–2
T9	Gary Koch	United States	69-74-71=214	–2
T9	Sandy Lyle	Scotland	76-70-68=214	–2
T9	Mark McCumber	United States	76-67-71=214	–2
T9	Jack Nicklaus	United States	74-71-69=214	–2
T9	Corey Pavin	United States	71-72-71=214	–2
T9	Bob Tway	United States	70-73-71=214	–2
