Name	Home or representative town or province	Age	Edition	Total days in PBB House	Duration	Status
Aldred Gatchalian	Pasay City	15	Edition 1	7	Days 1-7	Left due to loneliness
Mikki Arceo	Davao City	18	Edition 1	11	Days 1-11	Evicted
Bam Romana	Parañaque City	16	Edition 1	14	Days 1-14	Forcibly evicted as punishment
Niña Jose	Makati City	17	Edition 1	14	Days 1-14	Evicted
Joaqui Mendoza	Parañaque City	17	Edition 1	13	Days 9-21	Evicted
Fred Payawan	Parañaque City	17	Edition 1	21	Days 1-21	Evicted
Olyn Membian	Quezon City	16	Edition 1	28	Days 1-28	Evicted
Matt Evans	Quezon City	17	Edition 1	28	Days 1-28	Evicted
Brenda Fox	Olongapo City	16	Edition 1	21	Days 15-35	Evicted
Jamilla Obispo	Laguna	18	Edition 1	35	Days 1-35	Evicted
Clare Cabiguin	Malaybalay City , Bukidnon	18	Edition 1	42	Days 1-42	4th place
Gerald Anderson	General Santos City	17	Edition 1	42	Days 1-42	3rd place
Mikee Lee	Quezon City	16	Edition 1	42	Days 1-42	2nd place
Kim Chiu	Cebu City	16	Edition 1	42	Days 1-42	Winner
Jieriel Papa	Davao	16	Plus	21	Days 1-21	Evicted
Linda Backlund	Iriga City	16	Plus	26	Days 1-26	Left to spend time with family
Kevin Garcia-Flood	Madrid , Spain	18	Plus	35	Days 1-35	Left due to criticisms
Jolas Paguia	Guiguinto, Bulacan	18	Plus	42	Days 1-42	Evicted
Josef Elizalde	Mandaluyong City	16	Plus	49	Days 1-49	Evicted
Priscilla Navidad	Davao	17	Plus	56	Days 1-56	Evicted
Rona Libby	Dumaguete City	16	Plus	63	Days 1-63	Evicted
Valerie Weignmann	Wiesbaden , Germany	18	Plus	67	Days 1-67	Evicted
Nan Clenuar	Davao	17	Plus	70	Days 1-70	Evicted
Alex Anselmuccio	Milan , Italy	18	Plus	74	Days 1-74	Evicted
Beauty Gonzalez	Dumaguete City	16	Plus	77	Days 1-77	4th place
Nicole Uysiuseng	Cebu	17	Plus	77	Days 1-77	3rd place
Robi Domingo	Quezon City	18	Plus	77	Days 1-77	2nd place
Ejay Falcon	Pola , Oriental Mindoro	18	Plus	77	Days 1-77	Winner
Maichel Fideles	Samar	19	Clash 2010	14	Days 2-15	Forcibly evicted as punishment
Potz Jalosjos	Dipolog City	19	Clash 2010	15	Days 1-15	Evicted
Eslove Briones	Tawi-Tawi	17	Clash 2010	19	Days 1-19	evicted as punishment
Rebecca Chiongbian	Cebu	16	Clash 2010	22	Days 1-22	Evicted
Shey Bustamante	Mindoro	17	Clash 2010	24	Days 1-24	Forcibly evicted as punishment
Kyra Custodio	Batangas	15	Clash 2010	29	Days 1-29	Evicted
April Sun	Hong Kong	18	Clash 2010	15	Days 22-36	Evicted
Jovic Susim	Albay	17	Clash 2010	17	Days 20-36	Evicted
Yong Gopez	Porac, Pampanga	17	Clash 2010	36	Days 1-36	Evicted
Carson Vince	Canada	17	Clash 2010	22	Days 22-43	Evicted
Richard (Na Do-hun)	South Korea	17	Clash 2010	22	Days 22-43	Evicted
Kazel Kinouchi	Parañaque City	18	Clash 2010	43	Days 1-43	Evicted
Yen Santos	Cabanatuan City , Nueva Ecija	17	Clash 2010	43	Days 1-43	Evicted
Jack (Yoon Sung-bin)	South Korea	19	Clash 2010	29	Days 22-50	Evicted
Sophia (Ko So-young)	South Korea	14	Clash 2010	29	Days 22-50	Evicted
Joe Vargas	Quezon City	17	Clash 2010	50	Days 1-50	Evicted
Patrick Sugui	Mandaluyong City	16	Clash 2010	50	Days 1-50	Evicted
Angelo Pasco	Antique	18	Clash 2010	54	Days 1-54	Forcibly evicted due to medical reasons
Tricia Santos	Davao City	14	Clash 2010	63	Days 1-63	Evicted
Jenny (Kim Jin-sol)	South Korea	16	Clash 2010	50	Days 22-71	Forcibly evicted as sacrifice
Ann (Yi Shuan Li)	Taiwan	15	Clash 2010	54	Days 22-75	Evicted
Bret Jackson	United States	19	Clash 2010	57	Days 22-78	6th place
Ivan Dorschner	Rizal	19	Clash 2010	78	Days 1-78	5th place
Devon Seron	Cebu	16	Clash 2010	78	Days 1-78	4th place
Fretzie Bercede	Cebu	16	Clash 2010	78	Days 1-78	3rd place
Ryan (Bang Hyung-sun)	South Korea	17	Clash 2010	57	Days 22-78	2nd place
James Reid	Australia	16	Clash 2010	57	Days 22-78	Winner
Vincent Manlapaz	Cainta, Rizal	15	Edition 4	21	Days 1-21	Evicted
Nikka Javier	Lian, Batangas	15	Edition 4	27	Days 2-28	Evicted
Claire Bercero	Makati City	15	Edition 4	34	Days 2-35	Evicted
Clodet Loreto	Davao	13	Edition 4	41	Days 2-42	Evicted
Kit Thompson	Angeles, Pampanga	15	Edition 4	49	Days 1-49	Evicted
Mariz Raneses	Cebu City	16	Edition 4	55	Days 2-56	Evicted
Tom Doromal	Davao	15	Edition 4	70	Days 1-70	Evicted
Yves Flores	Tarlac	17	Edition 4	76	Days 1-76	Evicted
Alec Dungo	Sta. Cruz, Laguna	17	Edition 4	83	Days 1-83	Evicted
Ryan Boyce	Angeles, Pampanga	15	Edition 4	86	Days 1-86	Evicted
Jai Agpangan*	Bacolod City	16	Edition 4	91	Days 1-91	4th place
Joj Agpangan*	Bacolod City	16	Edition 4	91	Days 1-91	4th place
Roy Requejo	Naga City	17	Edition 4	91	Days 1-91	3rd place
Karen Reyes	Calapan, Oriental Mindoro	15	Edition 4	90	Days 2-91	2nd place
