Season	Series	Races	Wins	Poles	F/Laps	Podiums	Points	Position
2000	British Formula Three	1	0	0	0	0	0	n/a
2001	British Formula Three	25	0	0	0	0	8	19th
2002	British Formula Three	26	0	0	0	1	94	9th
2003	British Formula Three	16	1	2	0	5	110	7th
2004	British Formula Three	8	0	0	2	1	32	16th
2005	Formula 3 Euroseries	4	0	0	0	0	0	n/a
2007	SEAT Cupra Great Britain R class	11	0	0	1	1	60	8th
2007	Ginetta Championship	11	1	0	2	5	168	11th
2008	British GT Championship GT4	14	3	2	4	10	80	2nd
2008	Ginetta G50 Cup Great Britain	4	2	1	1	4	132	14th
2009	Michelin Ginetta G50 Cup	6	0	0	0	2	51	19th
2010	Grand Prix Masters	7	1	1	1	3	n/a	n/a
2011	British Touring Car Championship	24	0	0	1	1	26	16th
2012	British Touring Car Championship	24	0	0	0	1	122	13th
2013	British Touring Car Championship	8	1	0	1	1	19*	15th*
