Team	2003–04 Pts	2004–05 Pts	2005–06 Pts	Total Pts	Total Pld
Boca Juniors	75	48	83	206	114
River Plate	66	60	62	188	114
Vélez Sársfield	53	73	58	184	114
Banfield	64	59	59	182	114
San Lorenzo	62	52	56	170	114
Newell'sOldBoys	51	60	51	162	114
Gimnasia y Esgrima (LP)	38	54	69	161	114
Estudiantes (LP)	44	61	52	157	114
Lanús	42	54	58	154	114
Arsenal	55	54	43	153	114
Gimnasia y Esgrima (J)	—	—	51	51	38
Racing	50	58	44	152	114
Rosario Central	44	61	45	150	114
Independiente	44	49	55	148	114
Colón	49	53	46	148	114
Quilmes	60	44	39	143	114
Argentinos Juniors	—	43	50	93	76
Olimpo	39	43	49	131	114
Instituto	—	42	28	70	76
Tiro Federal	—	—	27	27	38
