Date	Opponent	Score	Loss	Record
July 1	Rangers	11–8	Byrd (0–2)	28–46
July 2	Rangers	10–7	Barker (0–1)	29–46
July 3	Rangers	6–3 (10)	Willis (2–3)	29–47
July 3	Rangers	5–3	Knowles (2–1)	30–47
July 4	@ Red Sox	9–6	Hartenstein (0–2)	30–48
July 6	@ Red Sox	9–5	Vuckovic (4–7)	30–49
July 7	@ Red Sox	5–2	Jefferson (5–8)	30–50
July 8	@ Indians	11–5	Lemanczyk (7–7)	30–51
July 9	@ Indians	3–2	Garvin (7–8)	30–52
July 10	@ Indians	5–3	Dobson (3–8)	31–52
July 11	@ Tigers	9–7	DeBarr (0–1)	31–53
July 12	@ Tigers	2–1	Jefferson (5–9)	31–54
July 13	@ White Sox	6–3	Singer (2–8)	31–55
July 13	@ White Sox	5–3 (11)	Kucek (0–1)	32–55
July 14	@ White Sox	2–1	Garvin (7–9)	32–56
July 15	Tigers	8–6 (13)	Crawford (3–3)	33–56
July 16	Tigers	11–3	Willis (2–4)	33–57
July 17	Tigers	3–2	Arroyo (5–9)	34–57
July 17	Tigers	7–6 (11)	Lemanczyk (8–8)	34–58
July 22	White Sox	10–3	Garvin (7–10)	34–59
July 23	White Sox	10–3	Lemanczyk (8–9)	34–60
July 24	@ Tigers	6–2	Jefferson (6–10)	34–61
July 25	@ Tigers	8–3	Byrd (1–3)	34–62
July 26	Rangers	14–0	Clancy (0–1)	34–63
July 28	Rangers	3–0	Garvin (7–11)	34–64
July 29	Brewers	7–3	Jefferson (6–11)	34–65
July 30	Brewers	3–2	Byrd (1–4)	34–66
July 31	Brewers	4–1	Augustine (10–12)	35–66
