Name	Years	Goals	Apps	Ratio
Telmo Zarra	1940–1955	251	278	0.91
Hugo Sánchez	1981–1994	234	347	0.67
Raúl	1994–2010	228	550	0.41
Alfredo di Stéfano	1953–1966	227	329	0.69
César Rodríguez	1939–1955	223	353	0.63
Lionel Messi	2004–	223	256	0.86
Quini	1970–1987	219	448	0.49
Pahiño	1943–1956	210	278	0.76
Edmundo Suárez	1939–1950	195	231	0.84
Carlos Santillana	1970–1988	186	461	0.40
Juan Arza	1943–1959	182	349	0.52
Guillermo Gorostiza	1929–1945	178	256	0.70
David Villa	2003–	177	328	0.54
Samuel Eto'o	1998–2009	162	280	0.58
Luis Aragonés	1960–1974	160	360	0.44
Cristiano Ronaldo	2009–	159	147	1.08
Ferenc Puskás	1958–1966	156	180	0.87
Julio Salinas	1982–2000	152	417	0.36
Adrián Escudero	1945–1958	150	287	0.52
Daniel Ruiz	1974–1986	147	303	0.49
Raúl Tamudo	1997–	146	407	0.36
Silvestre Igoa	1941–1956	141	284	0.50
Manuel Badenes	1946–1959	139	201	0.69
Juan Araújo	1945–1956	139	207	0.67
José Mari Bakero	1980–1997	139	483	0.29
László Kubala	1951–1965	138	215	0.64
José Luis Panizo	1939–1955	136	325	0.41
Jesús María Satrústegui	1973–1986	133	297	0.45
Joaquín Murillo	1952–1964	132	227	0.58
Ismael Urzaiz	1991–2007	131	445	0.29
