Province (ashkharh)	Armenian name	Area (km²)	Number of cantons (gavars)	Center
Upper Armenia	Բարձր Հայք	23860	9	Ani
Sophene	Ծոփք	18890	8	Arshamashat
Aghdznik	Աղձնիք	17532	11	Tigranakert
Turuberan	Տուրուբերան	25008	17	Haykashen
Moxoene	Մոկք	2962	8	Aparanq
Corduene	Կորճայք	14707	11	Mahkert
Persarmenia	Պարսկահայք	11010	9	Salmast
Vaspurakan	Վասպուրական	40870	35	Van
Syunik	Սյունիք	15237	12	Baghaberd
Artsakh	Արցախ	11528	12	Shushi
Paytakaran	Փայտակարան	21000	10	Bakurakert
Utik	Ուտիք	11315	8	Parnes
Gugark	Գուգարք	16795	9	Ardahan
Tayk	Տայք	10179	8	Boghberd
Ayrarat	Այրարատ	40105	22	Armavir
