Place	Rider	Country	Machine	Speed	Time	Points
1	Tony Jefferies	United Kingdom	Yamsel	89.81mph	2:05.48.6	15
2	Gordon Pantall	United Kingdom	Yamaha	89.55mph	2:06.25.0	12
3	Bill Smith	United Kingdom	Honda	89.81mph	2:07.40.8	10
4	John Williams	United Kingdom	AJS	88.94mph	2:07.17.0	8
5	Mick Chatterton	United Kingdom	Yamaha	87.38mph	2:09.33.6	6
6	Gerry Mateer	United Kingdom	Aermacchi	87.18mph	2:09.51.8	5
7	Mick Grant	United Kingdom	Yamaha	86.50mph	2:28.30.6	4
8	Billy Guthrie	United Kingdom	Yamaha	86.31mph	2:11.09.0	3
9	Günter Bartusch	East Germany	MZ	86.15mph	2:11.24.2	2
10	Peter Berwick	United Kingdom	Suzuki	85.90mph	2:11.47.2	1
