Res.	Record	Opponent	Method	Event	Round	Time	Location
Win	19–15	Elton Rodrigues	TKO (punches)	Warriors of God	1	1:37	Uberlandia , Minas Gerais, Brazil
Loss	18–15	Jordan Mein	TKO (elbows)	Strikeforce: Barnett vs. Kharitonov	3	3:18	Cincinnati, Ohio , United States
Loss	18–14	Nick Diaz	Submission (armbar)	Strikeforce: Diaz vs. Cyborg	2	4:50	San Jose, California , United States
Win	18–13	Marius Žaromskis	TKO (punches)	Strikeforce: Los Angeles	1	2:38	Los Angeles, California, United States
Win	17–13	Daniel Zarate	TKO (head kick and punches)	Samurai Fight Combat 2	1	1:41	Curitiba , Brazil
Loss	16–13	Joey Villasenor	Decision (split)	Strikeforce Challengers: Villasenor vs. Cyborg	3	5:00	Kent, Washington , United States
Loss	16–12	Siyar Bahadurzada	TKO (arm injury)	World Victory Road Presents: Sengoku 5	1	0:35	Tokyo, Japan
Win	16–11	Makoto Takimoto	Submission (achilles lock)	World Victory Road Presents: Sengoku 1	1	4:51	Tokyo, Japan
Loss	15–11	Gegard Mousasi	TKO (punches)	HCF: Destiny	1	3:42	Calgary , Canada
Loss	15–10	James Zikic	Decision (unanimous)	Cage Rage 21	5	5:00	London, England
Win	15–9	Yosuke Nishijima	Submission (rear-naked choke)	Pride Final Conflict Absolute	1	3:24	Saitama , Japan
Loss	14–9	Kazuhiro Nakamura	Submission (keylock)	Pride Critical Countdown Absolute	1	4:49	Saitama , Japan
Win	14–8	Francis Carmont	Decision (majority)	WFC: Europe vs Brazil	3	5:00	Koper , Slovenia
Win	13–8	Roberto Godoi	Decision (unanimous)	Show Fight 4	3	5:00	São Paulo , Brazil
Loss	12–8	Melvin Manhoef	KO (punches)	Cage Rage 15	2	3:51	London, England
Win	12–7	Michal Materla	KO (punches)	Jungle Fight 5	2	2:03	Manaus , Brazil
Win	11–7	Darren Little	TKO (corner stoppage)	Cage Rage 13 : No Fear	1	0:55	London, England
Win	10–7	Kassim Annan	Submission (stomps and soccer kicks)	Meca World Vale Tudo 12	1	3:43	Rio de Janeiro , Brazil
Win	9–7	Mark Epstein	TKO (punches)	Cage Rage 11 : Face Off	1	2:16	London, England
Loss	8–7	Antony Rea	TKO (punches)	Cage Rage 10: Deliverance	2	1:55	London, England
Loss	8–6	Yuki Kondo	Decision (unanimous)	Pancrase: Brave 10	3	5:00	Tokyo, Japan
Loss	8–5	Claudio Godoi	TKO (punches)	Conquista Fight 1	3	2:23	Bahia , Brazil
Win	8–4	Lucas Lopes	TKO (punches and leg kick)	Jungle Fight 1	2	4:08	Manaus , Brazil
Loss	7–4	Mauricio Rua	TKO (punches)	Meca World Vale Tudo 9	1	8:12	Rio de Janeiro , Brazil
Win	7–3	Gabriel Santos	KO (knee)	K-NOCK	1	1:01	Rio De Janiero , Brazil
Win	6–3	Osami Shibuya	KO (punch)	Pancrase: Hybrid 5	1	1:20	Yokohama , Japan
Win	5–3	Silvio de Souza	KO (punch)	Meca World Vale Tudo 7	1	0:10	Curitiba , Brazil
Loss	4–3	Angelo Araujo	TKO (punches)	IVC 14: USA vs Brazil	1	8:46	Caracas , Venezuela
Win	4–2	Jefferson Silva	KO (punch)	IVC 14: USA vs Brazil	1	2:28	Caracas , Venezuela
Win	3–2	Aaron Sullivan	TKO (punches)	IVC 14: USA vs Brazil	1	0:13	Caracas , Venezuela
Loss	2–2	Jorge Magalhaes	Decision (unanimous)	Heroes 2	1	12:00	Rio De Janiero , Brazil
Loss	2–1	Jose Landi-Jons	TKO (punches)	BVF 8: Campeonato Brasileiro de Vale Tudo 2	1	8:18	Brazil
Win	2–0	Adriano Verdelli	Submission (punches)	BVF 8: Campeonato Brasileiro de Vale Tudo 2	1	1:56	Brazil
Win	1–0	Roberto Pereira	Submission (rear-naked choke)	BVF 8: Campeonato Brasileiro de Vale Tudo 2	1	2:37	Brazil
