Year	Nord	West	Südwest	Berlin
1946	–	–	1. FC Saarbrücken	SG Wilmersdorf
1947	–	–	1. FC Kaiserslautern	SG Charlottenburg
1948	Hamburger SV	Borussia Dortmund	1. FC Kaiserslautern	Union Oberschöneweide
1949	Hamburger SV	Borussia Dortmund	1. FC Kaiserslautern	Berliner SV 92
1950	Hamburger SV	Borussia Dortmund	1. FC Kaiserslautern	Tennis Borussia Berlin
1951	Hamburger SV	FC Schalke 04	1. FC Kaiserslautern	Tennis Borussia Berlin
1952	Hamburger SV	Rot-Weiss Essen	1. FC Saarbrücken	Tennis Borussia Berlin
1953	Hamburger SV	Borussia Dortmund	1. FC Kaiserslautern	SC Union 06 Berlin
1954	Hannover 96	1. FC Köln	1. FC Kaiserslautern	Berliner SV 92
1955	Hamburger SV	Rot-Weiss Essen	1. FC Kaiserslautern	BFC Viktoria 1889
1956	Hamburger SV	Borussia Dortmund	1. FC Kaiserslautern	BFC Viktoria 1889
1957	Hamburger SV	Borussia Dortmund	1. FC Kaiserslautern	Hertha BSC
1958	Hamburger SV	FC Schalke 04	FK Pirmasens	Tennis Borussia Berlin
1959	Hamburger SV	Westfalia Herne	FK Pirmasens	SC Tasmania 1900 Berlin
1960	Hamburger SV	1. FC Köln	FK Pirmasens	SC Tasmania 1900 Berlin
1961	Hamburger SV	1. FC Köln	1. FC Saarbrücken	Hertha BSC
1962	Hamburger SV	1. FC Köln	Borussia Neunkirchen	SC Tasmania 1900 Berlin
1963	Hamburger SV	1. FC Köln	1. FC Kaiserslautern	Hertha BSC
