Team	Outgoing head coach	Manner of departure	Date of vacancy	Position in table	Incoming head coach	Date of appointment
Rah Ahan	Rasoul Korbekandi	Sacked	7 Sep 2010	18	Mehdi Tartar	8 Sep 2010
Paykan	Mohammad Ahmadzadeh	Resigned	10 Oct 2010	18	Hamid Alidousti	15 Oct 2010
Steel Azin	Ljubiša Tumbaković	Sacked	13 Oct 2010	13	Afshin Peyrovani	14 Oct 2010
Shahrdari Tabriz	Akbar Misaghian	Resigned	22 Oct 2010	17	Hamid Derakhshan	26 Oct 2010
Saba Qom	Mahmoud Yavari	Sacked	25 Oct 2010	8	Abdollah Veysi	2 Nov 2010
Steel Azin	Afshin Peyrovani	Resigned	23 Nov 2010	18	Mohammad Khakpour	6 Dec 2010
PAS Hamedan	Ali Asghar Modir Roosta	Resigned	8 Dec 2010	13	Mahmoud Yavari	12 Dec 2010
Sanat Naft	Acácio Casimiro	Sacked	24 Feb 2011	9	Gholam Hossein Peyrovani	7 Mar 2011
Steel Azin	Mohammad Khakpour	Resigned	3 Mar 2011	18	Mahmoud Yavari	14 Mar 2011
PAS Hamedan	Mahmoud Yavari	Resigned	8 Mar 2011	18	Ali Asghar Modir Roosta	10 Mar 2011
Shahin Bushehr	Hamid Estili	Sacked	2 Apr 2011	16	Akbar Misaghian	4 Apr 2011
