Pick	Player	Position	Nationality	NHL team	College/junior/club team
27	Radim Bicanek	Defence	Czech Republic	Ottawa Senators	HC Dukla Jihlava (Czech Republic)
28	Shean Donovan	Right Wing	Canada	San Jose Sharks	Ottawa 67's (OHL)
29	Tyler Moss	Goaltender	Canada	Tampa Bay Lightning	Kingston Frontenacs (OHL)
30	Nikolai Tsulygin	Defence	Russia	Mighty Ducks of Anaheim	Salavat Yulaev Ufa (Russia)
31	Scott Langkow	Goaltender	Canada	Winnipeg Jets	Portland Winter Hawks (WHL)
32	Jay Pandolfo	Left Wing	United States	New Jersey Devils	Boston University (Hockey East)
33	David Vyborny	Centre	Czech Republic	Edmonton Oilers	HC Sparta Praha (Czech Republic)
34	Lee Sorochan	Defence	Canada	New York Rangers	Lethbridge Hurricanes (WHL)
35	Jamie Langenbrunner	Centre	United States	Dallas Stars	Cloquet High School (HS-Minnesota)
36	Janne Niinimaa	Defence	Finland	Philadelphia Flyers	Oulun Kärpät (Finland)
37	Maxim Bets	Left Wing	Russia	St. Louis Blues	Spokane Chiefs (WHL)
38	Denis Tsygurov	Defence	Russia	Buffalo Sabres	HC Lada Togliatti (Russia)
39	Brendan Morrison	Centre	Canada	New Jersey Devils	University of Michigan (CCHA)
40	Bryan McCabe	Defence	Canada	New York Islanders	Spokane Chiefs (WHL)
41	Kevin Weekes	Goaltender	Canada	Florida Panthers	Owen Sound Platers (OHL)
42	Shayne Toporowski	Right Wing	Canada	Los Angeles Kings	Prince Albert Raiders (WHL)
43	Alexei Budayev	Centre	Russia	Winnipeg Jets	Kristall Elektrostal (Russia)
44	Jamie Allison	Defence	Canada	Calgary Flames	Detroit Jr. Red Wings (OHL)
45	Vlastimil Kroupa	Defence	Czech Republic	San Jose Sharks	HC Chemopetrol Litvinov (Czech Republic)
46	Rick Girard	Centre	Canada	Vancouver Canucks	Swift Current Broncos (WHL)
47	Rory Fitzpatrick	Defence	United States	Montreal Canadiens	Sudbury Wolves (OHL)
48	Jonathan Coleman	Defence	United States	Detroit Red Wings	Andover Academy (HS-Massachusetts)
49	Ashley Buckberger	Right Wing	Canada	Quebec Nordiques	Swift Current Broncos (WHL)
50	Eric Manlow	Centre	Canada	Chicago Blackhawks	Kitchener Rangers (OHL)
51	Matt Alvey	Right Wing	United States	Boston Bruins	Springfield Olympics (NEJHL)
52	Domenic Pittis	Centre	Canada	Pittsburgh Penguins	Lethbridge Hurricanes (WHL)
