Yard Name	Location (city, state)	1st Ship Delivery Date	Ship Types Delivered	Total Number of Ways	total vessels built
Moore Dry Dock Company	Oakland, California	July 1940	C2 type, R2 type, C3 type	4 ways	__ ships for USMC (remainder for USN)
Bethlehem Steel Corp.	San Francisco, California	February 1941	C1 type	number	5 ships for USMC (remainder for USN)
Seattle-Tacoma Shipbuilding	Tacoma, Washington	April 1941	C1 type, C3 type, T1 type	8 ways	__ ships for USMC (remainder for USN)
Western Pipe & Steel Corp.	South San Francisco, California	April 1941	C1 type, C3 type	4 ways	__ ships for USMC
Kaiser Permanente (Richmond yard #1)	Richmond, California	August 1941	British Ocean type, EC2 type, VC2 type	7 ways	30 ships for UK, __ ships for USMC
Kaiser Permanente (Richmond yard #2)	Richmond, California	September 1941	EC2 type, VC2 type	12 ways	__ ships for USMC
Oregon Shipbuilding Co.	Portland, Oregon	January 1942	EC2 type, VC2 type	11 ways	__ ships for USMC
California Shipbuilding Corp. (CalShip)	Terminal Island, Los Angeles, California	February 1942	EC2 type, VC2 type	14 ways	__ ships for USMC
MarinShip Corp.	Sausalito, California	October 1942	EC2 type, T2 type	6 ways	__ ships for USMC
Pacific Bridge Co.	Alameda, California	December 1942	N3 type	2 ways (basins)	9 ships for USMC (remainder for USN)
Kaiser Company, Inc.	Swan Island, Portland, Oregon	December 1942	T2 type	8 ways	__ ships for USMC
Kaiser Cargo (Richmond yard #4)	Richmond, California	April 1943	S2 (LST) type, S2 (frigate) type, C1-M type	3 ways	__ ships for USMC
Kaiser Shipbuilding (Richmond yard #3)	Richmond, California	August 1943	C4 type	5 ways (basins)	__ ships for USMC
