Driver	Constructor	Laps	Time/Retired	Grid
Jackie Stewart	BRM	76	2:04:52.8	3
Graham Hill	BRM	76	+3.3 secs	4
Dan Gurney	Brabham - Climax	76	+16.5 secs	9
Lorenzo Bandini	Ferrari	76	+1:15.9	5
Bruce McLaren	Cooper - Climax	75	+1 Lap	11
Richard Attwood	Lotus - BRM	75	+1 Lap	13
Jo Bonnier	Brabham - Climax	74	+2 Laps	14
Jochen Rindt	Cooper - Climax	74	+2 laps	7
Innes Ireland	Lotus - BRM	74	+2 laps	18
Jim Clark	Lotus - Climax	63	Fuel pump	1
Mike Spence	Lotus - Climax	62	Alternator	8
Nino Vaccarella	Ferrari	58	Engine	15
Roberto Bussinello	BRM	58	Oil Pressure	21
Richie Ginther	Honda	56	Ignition	17
Denny Hulme	Brabham - Climax	46	Suspension	12
Frank Gardner	Brabham - BRM	45	Engine	16
Jo Siffert	Brabham - BRM	43	Gearbox	10
Geki	Lotus - Climax	37	Gearbox	20
John Surtees	Ferrari	34	Clutch	2
Ronnie Bucknum	Honda	27	Ignition	6
Masten Gregory	BRM	22	Gearbox	23
Giancarlo Baghetti	Brabham - Climax	12	Engine	19
Giorgio Bassi	BRM	8	Engine	22
