Episode	Airdate	Reward	Immunity	Eliminated	Vote	Finish
1	28 October 2001	Água	Fogo	Bisteka	3-2-1	1st Voted Out Day 3
2	4 November 2001	Água	Água	Rogério	3-2-1	2nd Voted Out Day 6
3	11 November 2001	Água	Água	Janaína	4-1	3rd Voted Out Day 9
4	18 November 2001	Fogo	Fogo	Pedro	3-2	4th Voted Out Day 12
5	25 November 2001	Água	Água	Cláudia	3-1	5th Voted Out Day 15
6	2 December 2001	Rodrigo	Herica	Diuare	4-2-1	6th Voted Out Day 18
7	9 December 2001	Peterson	Peterson	Fábio	3-1-1-1	7th Voted Out Day 21
7	9 December 2001	Adriana	Adriana	Rodrigo	4-1	8th Voted Out Day 22
8	16 December 2001	None	Herica Tatiana	Peterson	No Vote	Eliminated Day 23
8	16 December 2001	None	Herica Tatiana	Adriana	No Vote	Eliminated Day 23
8	23 December 2001	Final Trial	Final Trial	Tatiana	No Vote	3rd Place
8	23 December 2001	Final Trial	Final Trial	Herica	No Vote	Runner-Up
