Round	Grand Prix	Date	Location	Pole Position	Fastest Lap	Winning Driver	Winning Constructor	Report
1	South African Grand Prix	1 March	Kyalami	Nigel Mansell	Nigel Mansell	Nigel Mansell	Williams - Renault	Report
2	Mexican Grand Prix	22 March	Hermanos Rodríguez	Nigel Mansell	Gerhard Berger	Nigel Mansell	Williams - Renault	Report
3	Brazilian Grand Prix	5 April	Interlagos	Nigel Mansell	Riccardo Patrese	Nigel Mansell	Williams - Renault	Report
4	Spanish Grand Prix	3 May	Catalunya	Nigel Mansell	Nigel Mansell	Nigel Mansell	Williams - Renault	Report
5	San Marino Grand Prix	17 May	Imola	Nigel Mansell	Riccardo Patrese	Nigel Mansell	Williams - Renault	Report
6	Monaco Grand Prix	31 May	Monaco	Nigel Mansell	Nigel Mansell	Ayrton Senna	McLaren - Honda	Report
7	Canadian Grand Prix	14 June	Circuit Gilles Villeneuve	Ayrton Senna	Gerhard Berger	Gerhard Berger	McLaren - Honda	Report
8	French Grand Prix	5 July	Magny-Cours	Nigel Mansell	Nigel Mansell	Nigel Mansell	Williams - Renault	Report
9	British Grand Prix	12 July	Silverstone	Nigel Mansell	Nigel Mansell	Nigel Mansell	Williams - Renault	Report
10	German Grand Prix	26 July	Hockenheimring	Nigel Mansell	Riccardo Patrese	Nigel Mansell	Williams - Renault	Report
11	Hungarian Grand Prix	16 August	Hungaroring	Riccardo Patrese	Nigel Mansell	Ayrton Senna	McLaren - Honda	Report
12	Belgian Grand Prix	30 August	Spa-Francorchamps	Nigel Mansell	Michael Schumacher	Michael Schumacher	Benetton - Ford	Report
13	Italian Grand Prix	13 September	Monza	Nigel Mansell	Nigel Mansell	Ayrton Senna	McLaren - Honda	Report
14	Portuguese Grand Prix	27 September	Estoril	Nigel Mansell	Ayrton Senna	Nigel Mansell	Williams - Renault	Report
15	Japanese Grand Prix	25 October	Suzuka	Nigel Mansell	Nigel Mansell	Riccardo Patrese	Williams - Renault	Report
