Area	State/ Province	CSA/CMA 2009 population	Projected 2025 population	Projected increase 2009-2025
Chicago	IL-IN-WI	9,804,845	10,746,109	941,264
Toronto	ON	5,741,400	7,787,000	2,045,600
Detroit	MI	5,318,744	5,199,608	-119,136
Montreal [ dubious – discuss ]	QC	3,859,300	4,246,931	387,631
Minneapolis – Saint Paul	MN-WI	3,604,460	4,031,000	426,540
St. Louis	MO-IL	2,892,874	3,049,000	156,126
Cleveland — Akron	OH	2,891,988	3,172,000	280,012
Pittsburgh	PA	2,445,117	2,868,818	367,299
Cincinnati	OH-KY-IN	2,214,954	2,448,000	233,046
Indianapolis	IN	1,928,982	2,270,112	341,130
Kansas City	MO-KS	2,038,724	2,293,564	254,840
Columbus	OH	2,031,229	2,446,450	415,221
Milwaukee	WI	2,025,898	2,129,949	103,706
Ottawa – Gatineau	ON-QC	1,451,415	1,596,556	145,141
Louisville	KY-IN	1,395,634	1,602,456	206,822
Grand Rapids	MI	1,327,366	1,530,000	202,634
Buffalo	NY	1,203,493	1,040,400	-163,093
Rochester	NY	1,149,653	1,078,600	-71,053
Dayton	OH	1,066,261	1,066,261	0
Hamilton	ON	740,200	954,858	214,658
Toledo	OH-MI	672,220	672,220	0
Madison	WI	628,947	820,483	191,563
South Bend-Mishawaka-Elkhart	IN-MI	564,943	NA	NA
Lansing	MI	523,609	547,325	23,716
Kitchener – Waterloo	ON	492,400	635,196	142,796
London	ON	492,200	634,938	142,738
Rockford	IL	455,595	499,400	43,805
Fort Wayne	IN	414,315	414,315	0
St. Catharines – Niagara	ON	404,400	521,676	117,276
Davenport-Rock Island-Moline	IA-IL	379,690	452,565	72,875
Fox Cities	WI	360,000	NA	NA
Oshawa	ON	356,177	419,067	62,890
Windsor	ON	330,900	426,861	95,961
Green Bay	WI	304,783	NA	NA
Erie	PA	280,985	N/A	N/A
Duluth-Superior	MN-WI	279,771	N/A	N/A
Total CSA/CMA of major metro areas	US-Canada	59,781,623	65,735,336	6,234,698
