Player	Country	Year(s) won	Total	To par
Raymond Floyd	United States	1976	152	+8
Sandy Lyle	Scotland	1988	152	+8
Larry Mize	United States	1987	153	+9
Jack Nicklaus	United States	1963 , 1965 , 1966 , 1972 , 1975 , 1986	153	+9
José María Olazábal	Spain	1994 , 1999	153	+9
Tom Watson	United States	1977 , 1981	153	+9
Ben Crenshaw	United States	1984 , 1995	156	+12
Ian Woosnam	Wales	1991	156	+12
Tommy Aaron	United States	1973	161	+17
Fuzzy Zoeller	United States	1979	162	+18
Gary Player	South Africa	1961 , 1974 , 1978	167	+23
Charles Coody	United States	1971	171	+27
Billy Casper	United States	1970	WD	WD
Nick Faldo	England	1989 , 1990 , 1996	WD	WD
