Week	Date	Opponent	Location	Final Score	Attendance	Record
1	July 4	Alouettes	SkyDome	L 27 – 3	14065	0–1–0–0
2	July 13	Blue Bombers	SkyDome	L 30 – 16	11041	0–2–0–0
3	July 20	Tiger-Cats	SkyDome	L 24 – 18	16252	0–3–0–0
4	July 28	@ Roughriders	Taylor Field	W 50 – 24	27255	1–3–0–0
5	August 3	@ Stampeders	McMahon Stadium	W 36 – 35	32605	2–3–0–0
6	August 10	@ Blue Bombers	Canad Inns Stadium	L 36 – 16	25598	2–4–0–0
7	August 16	@ Alouettes	Molson Stadium	L 40 – 25	19541	2–5–0–0
8	August 25	Roughriders	SkyDome	L 14 – 11	18378	2–6–0–0
9	September 3	@ Tiger-Cats	Ivor Wynne Stadium	L 26 – 13	26283	2–7–0–0
10	September 8	Lions	SkyDome	W 32 – 17	17462	3–7–0–0
11	September 17 †	@ Alouettes	Molson Stadium	L 24 – 18	19541	3–8–0–0
12	September 21	@ Eskimos	Commonwealth Stadium	L 23 – 22	28687	3–9–0–0
13	September 28	Stampeders	SkyDome	W 33 – 31	15387	4–9–0–0
14	October 6	@ Lions	BC Place Stadium	W 34 – 17	17822	5–9–0–0
15	October 13	Alouettes	SkyDome	W 51 – 24	17258	6–9–0–0
16	October 19	Eskimos	SkyDome	L 25 – 22 (OT)	15438	6–10–0–1
17	October 26	Blue Bombers	SkyDome	W 12 – 7	16782	7–10–0–1
