Tournament	2008	2009	2010	2011	2012
Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments	Grand Slam Tournaments
Australian Open	A	1R	A	2R	1R
French Open	1R	1R	Q3	1R	1R
Wimbledon	A	1R	Q3	2R	Q1
US Open	A	Q2	2R	1R	Q3
Win–Loss	0–1	0–3	1–1	2–4	0–2
ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series	ATP Masters Series
Indian Wells Masters	A	A	A	1R	A
Miami Masters	A	A	A	1R	A
Monte Carlo Masters	A	A	A	A	A
Rome Masters	A	A	A	1R	A
Madrid Masters	A	A	A	2R	A
Canada Masters	A	A	A	1R	A
Cincinnati Masters	A	A	A	Q2	A
Shanghai Masters	NMS	A	A	A	A
Paris Masters	1R	A	A	2R	A
Win–Loss	0–1	0–0	0–0	2–6	0–0
Career statistics	Career statistics	Career statistics	Career statistics	Career statistics	Career statistics
Titles–Finals	0–0	0–0	0–0	0–0	0–0
Year-End Ranking	134	179	83	82	188
