Year	Team	Co-Drivers	Class	Laps	Pos.	Class Pos.
1997	Viper Team Oreca	Tommy Archer Marc Duez	GT2	76	DNF	DNF
1999	Viper Team Oreca	David Donohue Jean-Philippe Belloc	GTS	271	DNF	DNF
2003	Pescarolo Sport	Eric Hélary Nicolas Minassian	LMP900	352	9th	7th
2004	Pescarolo Sport	Érik Comas Benoît Tréluyer	LMP1	361	4th	4th
2005	Pescarolo Sport	Eric Hélary Sébastien Loeb	LMP1	288	DNF	DNF
2007	Team Oreca	Stéphane Ortelli Nicolas Lapierre	GT1	318	16th	9th
2008	Team Oreca -Matmut	Loïc Duval Laurent Groppi	LMP1	357	8th	8th
2009	Team Oreca -Matmut AIM	Olivier Panis Nicolas Lapierre	LMP1	370	5th	5th
2010	AIM Team Oreca -Matmut	Didier André Andy Meyrick	LMP1	369	4th	4th
2011	Signatech Nissan	Franck Mailleux Lucas Ordoñez	LMP2	320	9th	2nd
2012	PeCom Racing	Luís Pérez Companc Pierre Kaffer	LMP2	352	9th	3rd
