Name	Pos.	Year	Height	Weight	Hometown	Last School
Boris Bojanovsky	C	Fr.	7-3	240	Bratislava, Slovak Republic	Oakley College
Devon Bookert	G	Fr.	6-3	185	Anchorage, Alaska	West Anchorage
Montay Brandon	G	Fr.	6-7	216	Greensboro, North Carolina	Wesleyan Christian
Robert Gilchrist	F	Jr.	6-9	220	London, England	Polk State College
Joell Hopkins	F	So.	6-6	205	Durham, North Carolina	Tallahassee Community College
Ian Miller	G	Jr.	6-3	186	Charlotte, North Carolina	United Faith Christian Academy
Joey Moreau	G	Sr.	6-2	179	Henderson, Nevada	IMG Academy
Michael Ojo	C	Fr.	7-1	290	Lagos, Nigeria	Tennessee Temple
Rafael Portundo	G	Sr.	5-11	165	Miami, Florida	Dade College
Terrance Shannon	F	RJr.	6-8	240	Forsyth, Georgia	Mary Persons
Michael Snaer	F	Sr.	6-5	202	Moreno Valley, California	Rancho Verde
Aaron Thomas	G	Fr.	6-5	195	Cincinnati, Ohio	Brewster Academy
Kiel Turpin	C	RJr.	7-0	240	Normal, Illinois	Lincoln College
Terry Whisnant II	G	So.	6-3	185	Cherryville, North Carolina	Cherryville
Okaro White	F	Jr.	6-8	202	Clearwater, Florida	Clearwater
