Grid	Driver	Constructor	Qual	Rank	Laps	Time/Retired
6	Rodger Ward	Watson - Offenhauser	144.03	7	200	3:40:49.20
3	Jim Rathmann	Watson - Offenhauser	144.43	4	200	+ 0:23.28
1	Johnny Thomson	Lesovsky - Offenhauser	145.9	1	200	+ 0:50.64
15	Tony Bettenhausen	Epperly - Offenhauser	142.72	18	200	+ 1:47.09
16	Paul Goldsmith	Epperly - Offenhauser	142.67	19	200	+ 2:06.44
11	Johnny Boyd	Epperly - Offenhauser	142.81	16	200	+ 3:16.98
12	Duane Carter	Kurtis Kraft - Offenhauser	142.79	17	200	+ 4:09.92
8	Eddie Johnson	Kurtis Kraft - Offenhauser	144	9	200	+ 4:10.53
27	Paul Russo	Kurtis Kraft - Offenhauser	142.38	22	200	+ 4:11.04
17	A.J. Foyt	Kuzma - Offenhauser	142.64	20	200	+ 4:14.48
9	Gene Hartley	Kuzma - Offenhauser	143.57	10	200	+ 5:42.48
7	Bob Veith	Moore - Offenhauser	144.02	8	200	+ 6:09.73
23	Al Herman	Dunn - Offenhauser	141.93	29	200	+ 6:40.40
13	Jimmy Daywalt	Kurtis Kraft - Offenhauser	144.68	3	200	+ 6:41.54
21	Chuck Arnold	Curtis - Offenhauser	142.11	24	200	+ 8:19.86
33	Jim McWithey	Kurtis Kraft - Offenhauser	141.21	33	200	+ 11:41.69
2	Eddie Sachs	Kuzma - Offenhauser	145.42	2	182	Spun Off
28	Al Keller	Kuzma - Offenhauser	142.05	27	163	Engine
18	Pat Flaherty	Watson - Offenhauser	142.39	21	162	Accident
4	Dick Rathmann	Watson - Offenhauser	144.24	5	150	Fire
30	Bill Cheesbourg	Kuzma - Offenhauser	141.78	30	147	Magneto
25	Don Freeland	Kurtis Kraft - Offenhauser	143.05	14	136	Magneto
32	Ray Crawford	Elder - Offenhauser	141.34	32	115	Accident
10	Don Branson	Phillips - Offenhauser	143.31	12	112	Suspension
24	Bob Christie	Kurtis Kraft - Offenhauser	143.24	13	109	Engine
5	Bobby Grim	Kurtis Kraft - Offenhauser	144.22	6	85	Magneto
14	Jack Turner	Christensen - Offenhauser	143.47	11	47	Fuel leak
29	Chuck Weyant	Kurtis Kraft - Offenhauser	141.95	28	45	Accident
19	Jud Larson	Kurtis Kraft - Offenhauser	142.29	23	45	Accident
31	Mike Magill	Sutton - Offenhauser	141.48	31	45	Accident
26	Red Amick	Kurtis Kraft - Offenhauser	142.92	15	45	Accident
22	Len Sutton	Lesovsky - Offenhauser	142.1	26	34	Accident
20	Jimmy Bryan	Epperly - Offenhauser	142.11	25	1	Engine
