Driver	Constructor	Laps	Time/Retired	Grid
Jim Clark	Lotus - Climax	32	2:23:34.8	2
Jackie Stewart	BRM	32	+44.8 secs	3
Bruce McLaren	Cooper - Climax	31	+1 Lap	9
Jack Brabham	Brabham - Climax	31	+1 Lap	10
Graham Hill	BRM	31	+1 Lap	1
Richie Ginther	Honda	31	+1 Lap	4
Mike Spence	Lotus - Climax	31	+1 Lap	12
Jo Siffert	Brabham - BRM	31	+1 Lap	8
Lorenzo Bandini	Ferrari	30	+2 Laps	15
Dan Gurney	Brabham - Climax	30	+2 Laps	5
Jochen Rindt	Cooper - Climax	29	+3 Laps	14
Lucien Bianchi	BRM	29	+3 Laps	17
Innes Ireland	Lotus - BRM	27	+5 Laps	16
Richard Attwood	Lotus - BRM	26	Accident	13
Masten Gregory	BRM	12	Fuel Pump	20
Jo Bonnier	Brabham - Climax	9	Ignition	7
Ronnie Bucknum	Honda	9	Gearbox	11
John Surtees	Ferrari	5	Engine	6
Frank Gardner	Brabham - BRM	3	Ignition	19
