Tie no	Home team	Score	Away team	Date	Attendance
1	Blackpool	3 – 1	Torquay United	7 December 2002	5,014
2	Darlington	4 – 1	Stevenage Borough	7 December 2002	3,351
3	Macclesfield Town	2 – 0	Vauxhall Motors	7 December 2002	2,972
4	Crewe Alexandra	3 – 0	Mansfield Town	7 December 2002	4,563
5	Shrewsbury Town	3 – 1	Barrow	7 December 2002	4,210
6	Stockport County	0 – 3	Plymouth Argyle	7 December 2002	3,571
7	Bristol Rovers	1 – 1	Rochdale	7 December 2002	4,369
Replay	Rochdale	3 – 2	Bristol Rovers	17 December 2002	2,206
8	Oldham Athletic	1 – 2	Cheltenham Town	7 December 2002	4,416
9	Southend United	1 – 1	Bournemouth	7 December 2002	5,721
Replay	Bournemouth	3 – 2	Southend United	17 December 2002	5,456
10	Exeter City	3 – 1	Rushden & Diamonds	7 December 2002	2,277
11	Scunthorpe United	0 – 0	Carlisle United	7 December 2002	3,590
Replay	Carlisle United	0 – 1	Scunthorpe United	23 December 2002	6,809
12	Margate	0 – 3	Cardiff City	7 December 2002	1,362
13	Southport	0 – 3	Farnborough Town	7 December 2002	2,534
14	Morecambe	3 – 2	Chester City	7 December 2002	4,293
15	York City	1 – 2	Brentford	7 December 2002	3,517
16	Wigan Athletic	3 – 0	Luton Town	7 December 2002	4,544
17	Cambridge United	2 – 2	Northampton Town	7 December 2002	5,076
Replay	Northampton Town	0 – 1	Cambridge United	17 December 2002	4,591
18	Harrogate Railway Athletic	1 – 3	Bristol City	8 December 2002	3,500
19	Crawley Town	1 – 2	Dagenham & Redbridge	7 December 2002	4,516
20	Oxford United	1 – 0	Swindon Town	8 December 2002	11,645
