Event	Time	Nationality	Date	Meet	Location
50m freestyle	21.67	Russia	16 July 2013	2013 Universiade	Kazan , Russia
100m freestyle	47.62	Russia	14 July 2013	2013 Universiade	Kazan , Russia
200m freestyle	1:44.87	Russia	15 July 2013	2013 Universiade	Kazan , Russia
400m freestyle	3:46.72	Poland	5 July 2009	2009 Universiade	Belgrade , Serbia
800m freestyle	7:47.24	United States	7 July 2009	2009 Universiade	Belgrade , Serbia
1500m freestyle	14:51.06	Poland	9 July 2009	2009 Universiade	Belgrade , Serbia
50m backstroke	24.63	Japan	8 July 2009	2009 Universiade	Belgrade , Serbia
100m backstroke	52.60	Japan	6 July 2009	2009 Universiade	Belgrade , Serbia
200m backstroke	1:54.13	Japan	10 July 2009	2009 Universiade	Belgrade , Serbia
50m breaststroke	27.14	United States	10 July 2009	2009 Universiade	Belgrade , Serbia
100m breaststroke	59.53	Ukraine	6 July 2009	2009 Universiade	Belgrade , Serbia
200m breaststroke	2:08.73	Ukraine	8 July 2009	2009 Universiade	Belgrade , Serbia
50m butterfly	23.09	Kenya	5 July 2009	2009 Universiade	Belgrade , Serbia
100m butterfly	50.85	Kenya	9 July 2009	2009 Universiade	Belgrade , Serbia
200m butterfly	1:54.30	Poland	8 July 2009	2009 Universiade	Belgrade , Serbia
200m individual medley	1:57.58	United States	7 July 2009	2009 Universiade	Belgrade , Serbia
400m individual medley	4:12.00	United States	16 July 2013	2013 Universiade	Kazan , Russia
4×100m freestyle relay	3:10.88	Russia	10 July 2013	2013 Universiade	Kazan , Russia
4×200m freestyle relay	7:05.49	Russia	15 July 2013	2013 Universiade	Kazan , Russia
4×100m medley relay	3:32.80	Japan	11 July 2009	2009 Universiade	Belgrade , Serbia
