Rank	Result	Wind	Athlete	Date	Location
1.	21.34	+1.3	Florence Griffith-Joyner	29 September 1988	Seoul
2.	21.62A	−0.6	Marion Jones	11 September 1998	Johannesburg
3.	21.64	+0.8	Merlene Ottey	13 September 1991	Brussels
4.	21.69	+1.0	Allyson Felix	30 June 2012	Eugene
5.	21.71	+0.7	Marita Koch	10 June 1979	Karl-Marx-Stadt
5.	21.71	+1.2	Heike Drechsler	29 June 1986	Jena
7.	21.72	+1.3	Grace Jackson	29 September 1988	Seoul
7.	21.72	−0.1	Gwen Torrence	15 August 1992	Barcelona
9.	21.74	+0.4	Marlies Göhr	3 June 1984	Erfurt
9.	21.74	+1.2	Silke Gladisch-Möller	3 September 1987	Rome
9.	21.74	+0.6	Veronica Campbell-Brown	21 August 2008	Beijing
12.	21.75	−0.1	Juliet Cuthbert	5 August 1992	Barcelona
13.	21.77	+0.6	Inger Miller	27 August 1999	Seville
14.	21.81	−0.1	Valerie Brisco-Hooks	9 August 1984	Los Angeles
15.	21.83	−0.2	Evelyn Ashford	24 August 1979	Montreal
16.	21.85	+0.3	Barbel Wockel	21 July 1984	Potsdam
17.	21.87	0.0	Irina Privalova	25 July 1995	Monaco
18.	21.93	+1.3	Pam Marshall	23 July 1988	Indianapolis
19.	21.95	+0.3	Katrin Krabbe	30 August 1990	Split
20.	21.97	+1.9	Jarmila Kratochvilova	6 June 1981	Bratislava
21.	21.99	+0.9	Chandra Cheeseborough	19 June 1983	Indianapolis
21.	21.99	+1.1	Marie-Jose Perec	2 July 1993	Villeneuve d'Ascq
21.	21.99	+1.1	Kerron Stewart	29 July 2008	Kingston
24.	22.00	+1.3	Sherone Simpson	25 June 2006	Kingston
25.	22.01	−0.5	Anelia Nuneva	16 August 1987	Sofia
25.	22.01	0.0	Li Xuemei	22 October 1997	Shanghai
25.	22.01	+0.6	Muna Lee	21 August 2008	Beijing
