Player	Club	League	FA Cup	FA Trophy	League Cup	Total
Paul Dobson	Gateshead	25	3	4	2	34
Karl Thomas	Runcorn	23	0	5	2	30
Paul Adcock	Bath City	17	4	1	0	22
Terry Robbins	Welling United	17	0	2	2	21
Mickey Spencer	Yeovil Town	16	0	1	1	18
Clive Walker	Woking	16	0	3	0	19
David Gamble	Southport	15	2	2	0	19
David Leworthy	Dover Athletic	15	1	1	3	20
Carl Alford	Macclesfield Town	14	3	2	6	25
Paul Davies	Kidderminster Harriers	14	1	0	3	18
Morrys Scott	Slough Town	14	2	1	0	17
Recky Carter	Bromsgrove Rovers	13	3	2	0	18
Jamie Paterson	Halifax Town	13	0	2	1	16
Delwyn Humphreys	Kidderminster Harriers	13	3	0	1	17
