Date	Opponent	Score	Loss	Attendance	Record
May 1	Reds	13 - 3	Ortiz (0-1)	23,036	11-13
May 3	Cubs	4 - 1	Zambrano (2-1)	27,079	12-13
May 4	Cubs	4 - 3	Novoa (0-1)	28,392	13-13
May 5	Cubs	6 - 5	Hawkins (1-2)	31,721	14-13
May 6	Mets	4 - 7	Davis (3-4)	21,067	14-14
May 7	Mets	5 - 7	Santana (0-1)	39,589	14-15
May 8	Mets	5 - 4	DeJean (1-1)	17,626	15-15
May 9	Phillies	2 - 4	Santos (1-2)	11,103	15-16
May 10	Phillies	8 - 5	Adams (0-2)	12,082	16-16
May 11	Phillies	5 - 2	Lidle (2-3)	13,175	17-16
May 13	@ Pirates	4 - 3	Mesa (0-1)	23,845	18-16
May 14	@ Pirates	0 - 2	Santos (1-3)	21,772	18-17
May 15	@ Pirates	2 - 4	Glover (2-2)	15,134	18-18
May 16	@ Nationals	2 - 5	Davis (4-5)	26,606	18-19
May 17	@ Nationals	8 - 2	Vargas (0-1)	26,427	19-19
May 18	@ Nationals	0 - 1	Capuano (3-3)	29,216	19-20
May 19	@ Nationals	2 - 3	Santos (1-4)	30,968	19-21
May 20	@ Twins	1 - 7	Glover (2-3)	30,073	19-22
May 21	@ Twins	6 - 0	Radke (4-4)	32,106	20-22
May 22	@ Twins	5 - 6 (11)	Wise (0-1)	28,466	20-23
May 23	Rockies	2 - 1	Chacón (1-4)	11,855	21-23
May 24	Rockies	6 - 1	Francis (4-2)	17,759	22-23
May 25	Rockies	11 - 1	Wright (2-5)	24,916	23-23
May 27	Astros	3 - 0	Oswalt (5-6)	22,173	24-23
May 28	Astros	6 - 9	Sheets (1-4)	37,845	24-24
May 29	Astros	1 - 2	Capuano (4-4)	34,402	24-25
May 30	@ Padres	1 - 2	de la Rosa (2-1)	36,152	24-26
May 31	@ Padres	4 - 8	Glover (3-4)	23,124	24-27
