Shirt No	Nationality	Player	Birth Date	Height	Position
1	Estonia	Meelis Kivisild	July 28, 1990 (age23)	199	Middle blocker
2	Estonia	Keiro Vantsi	December 29, 1993 (age20)	191	Setter
3	Estonia	Martti Keel	January 30, 1992 (age22)	188	Setter
4	Estonia	Timo Tammemaa	November 18, 1991 (age22)	200	Middle blocker
5	Estonia	Argo Meresaar (C)	January 13, 1980 (age34)	206	Opposite
6	Estonia	Reimo Rannar	January 30, 1988 (age26)	203	Middle blocker
7	Estonia	Kristjan Õuekallas	January 8, 1981 (age33)	193	Spiker
8	Estonia	Hindrek Pulk	November 7, 1990 (age23)	193	Opposite
9	Estonia	Andri Aganits	September 7, 1993 (age20)	207	Middle blocker
10	Estonia	Kaur Koiduste	February 20, 1994 (age19)	190	Spiker
11	Estonia	Taavi Sadam	July 4, 1990 (age23)	189	Spiker
12	Latvia	Andrejs Baburovs	October 6, 1987 (age26)	192	Spiker
13	Estonia	Asko Esna	May 1, 1986 (age27)	185	Libero
14	Estonia	Markus Keel	August 18, 1995 (age18)	189	Setter
15	Estonia	Denis Losnikov	February 25, 1994 (age19)	196	Spiker
