Number	Name	Games Played	Games Started	Goals	Assists	Points	Shots
2	Melissa VandenBergh	22	22	0	0	0	6
3	Laura Pierino	8	8	0	0	0	2
4	Mary Velan	22	22	19	6	44	123
5	Kirsten Clapper	22	22	13	6	32	59
7	Lauren McGee	8	0	0	0	0	5
8	Lindsey Brechbeil	22	22	6	7	19	60
9	Elizabeth Cherry	22	22	6	0	12	32
10	Nha Wright	14	0	2	0	4	12
11	Ciara Morse	9	0	0	0	0	4
12	Michelle Dolojan	10	0	0	0	0	5
13	Calli Jo Sheldon	20	19	0	11	11	1
15	Caitlin Burke	22	14	1	4	6	7
17	Kailee DiDomenico	17	4	3	3	9	16
18	Samantha Ruppenthal	6	0	1	0	2	4
19	Kristina DiDomenico	7	0	1	0	2	2
21	Allison Siegel	15	12	1	0	2	11
22	Sarah Begley	22	22	20	10	50	63
24	Christine Marra	22	22	11	6	28	72
