Edition	Year	City	Country	Date	No. of Events	Top Team
1st	1972 ( details )	Bridgetown	Barbados	April 1–4	23	JAM
2nd	1973 ( details )	Port of Spain	Trinidad and Tobago	May 4–5	34	JAM
3rd	1974 ( details )	Kingston	Jamaica	April 13–15	34	JAM
4th	1975 ( details )	Hamilton	Bermuda	March 29–31	36	BER
5th	1976 ( details )	Nassau	Bahamas	April 19–20	39	JAM
6th	1977 ( details )	Bridgetown	Barbados	April 25–26	39	JAM
7th	1978 ( details )	Nassau	Bahamas	March 27–28	39	JAM
8th	1979 ( details )	Kingston	Jamaica	April 20–22	42	JAM
9th	1980 ( details )	Hamilton	Bermuda	May 3–4	48	BAH
10th	1981 ( details )	Nassau	Bahamas	April 20–21	48	BAH
11th	1982 ( details )	Kingston	Jamaica	April 10–12	52	JAM
12th	1983 ( details )	Fort-de-France	Martinique	April 2–4	52	BAH
13th	1984 ( details )	Nassau	Bahamas	April 21–23	52	BAH
14th	1985 ( details )	Bridgetown	Barbados	April 7–9	52	JAM
15th	1986 ( details )	Les Abymes	Guadeloupe	March 29–31	52	JAM
16th	1987 ( details )	Port of Spain	Trinidad and Tobago	April 18–20	52	JAM
17th	1988 ( details )	Kingston	Jamaica	April 2–4	52	JAM
18th	1989 ( details )	Bridgetown	Barbados	March 25–27	50	JAM
19th	1990 ( details )	Kingston	Jamaica	April 14–16	52	JAM
20th	1991 ( details )	Port of Spain	Trinidad and Tobago	March 30-April 1	53	JAM
21st	1992 ( details )	Nassau	Bahamas	April 18–20	53	JAM
22nd	1993 ( details )	Fort-de-France	Martinique	April 10–11	55	JAM
23rd	1994 ( details )	Bridgetown	Barbados	April 2–4	58	JAM
24th	1995 ( details )	George Town	Cayman Islands	April 15–17	58	JAM
25th	1996 ( details )	Kingston	Jamaica	April 6–8	58	JAM
26th	1997 ( details )	Bridgetown	Barbados	April 4–6	58	JAM
27th	1998 ( details )	Port of Spain	Trinidad and Tobago	April 11–13	62	JAM
28th	1999 ( details )	Fort-de-France	Martinique	April 3–5	63	JAM
29th	2000 ( details )	St. George's	Grenada	April 22–24	61	JAM
30th	2001 ( details )	Bridgetown	Barbados	April 14–16	62	JAM
31st	2002 ( details )	Nassau	Bahamas	March 30-April 1	66	JAM
32nd	2003 ( details )	Port of Spain	Trinidad and Tobago	April 19–21	66	JAM
33rd	2004 ( details )	Hamilton	Bermuda	April 9–11	66	JAM
34th	2005 ( details )	Bacolet	Trinidad and Tobago	March 26–28	66	JAM
35th	2006 ( details )	Les Abymes	Guadeloupe	April 15–17	66	JAM
36th	2007 ( details )	Providenciales	Turks and Caicos Islands	April 7–9	66	JAM
37th	2008 ( details )	Basseterre	Saint Kitts and Nevis	March 22–24	66	JAM
38th	2009 ( details )	Vieux Fort	Saint Lucia	April 10–13	66	JAM
39th	2010 ( details )	George Town	Cayman Islands	April 3–5	66	JAM
40th	2011 ( details )	Montego Bay	Jamaica	April 23–25	66	JAM
41st	2012 ( details )	Hamilton	Bermuda	April 6–9	66	JAM
42nd	2013 ( details )	Nassau	Bahamas	March 29-April 1	66	JAM
