SANSKRT	CHINESE	VIETNAMESE	JAPANESE	KOREAN
Mahākāśyapa	摩訶迦葉 / Móhējiāyè	Ma-Ha-Ca-Diếp	Makakashyo	마하가섭 / Mahagasŏp
Ānanda	阿難陀 / Ānántuó	A-Nan-Đà / A-Nan	Anan	아난다 / Ananda
Śānavāsa	商那和修 / Shāngnàhéxiū	Thương-Na-Hòa-Tu	Shonawashu	상나화수 / Sanahwasa
Upagupta	優婆掬多 / Yōupójúduō	Ưu-Ba-Cúc-Đa	Ubakikuta	우바국다 / Ubagupta
Dhrtaka	提多迦 / Dīduōjiā	Đề-Đa-Ca	Daitaka	제다가 / Chedaga
Miccaka	彌遮迦 / Mízhējiā	Di-Dá-Ca	Mishaka	미차가 / Michaga
Vasumitra	婆須密 / Póxūmì	Bà-Tu-Mật	Bashumitsu	바수밀다 / Pasumilta
Buddhanandi	浮陀難提 / Fútuónándī	Phật-Đà-Nan-Đề	Buddanandai	불타난제 / Pŭltananje
Buddhamitra	浮陀密多 / Fútuómìduō	Phục-Đà-Mật-Đa	Buddamitta	복태밀다 / Puktaemilda
Pārśva	婆栗濕婆 / Pólìshīpó	Bà-Lật-Thấp-Bà / Hiếp-Tôn-Giả	Barishiba	협존자 / Hyŏpjonje
Punyayaśas	富那夜奢 / Fùnàyèshē	Phú-Na-Dạ-Xa	Funayasha	부나야사 / Punayasa
Ānabodhi / Aśvaghoṣa	阿那菩提 / Ānàpútí	A-Na-Bồ-Đề / Mã-Minh	Anabotei	마명 / Mamyŏng
Kapimala	迦毘摩羅 / Jiāpímóluó	Ca-Tỳ-Ma-La	Kabimara	가비마라 / Kabimara
Nāgārjuna	龍樹 / Lóngshù	Long-Thọ	Ryusho	용수 / Yongsu
Kānadeva	迦那提婆 / Jiānàtípó	Ca-Na-Đề-Bà	Kanadaiba	가나제바 / Kanajeba
Rāhulata	羅睺羅多 / Luóhóuluóduō	La-Hầu-La-Đa	Ragorata	라후라다 / Rahurada
Sanghānandi	僧伽難提 / Sēngqiénántí	Tăng-Già-Nan-Đề	Sōgyanandai	승가난제 / Sŭngsananje
Sanghayaśas	僧伽舍多 / Sēngqiéshèduō	Tăng-Già-Da-Xá	Sogyayasha	가야사다 / Kayasada
Kumārata	鳩摩羅多 / Jiūmóluóduō	Cưu-Ma-La-Đa	Kumarada	구마라다 / Kumarada
Śayata	闍夜多 / Shéyèduō	Xà-Dạ-Đa	Jayana	사야다 / Sayada
Vasubandhu	世親 / Shìqīn	Bà-Tu-Bàn-Đầu	Bashyubanzu	바수반두 / Pasubandu
Manorhita	摩拏羅 / Mónáluó	Ma-Noa-La	Manura	마나라 / Manara
Haklenayaśas	鶴勒夜那夜者 / Hèlèyènàyèzhě	Hạc-Lặc-Na	Kakurokuyasha	학륵나 / Haklŭkna
Simhabodhi	師子菩提 / Shīzǐpútí	Sư-Tử-Bồ-Đề / Sư-Tử-Trí	Shishibodai	사자 / Saja
Vasiasita	婆舍斯多 / Póshèsīduō	Bà-Xá-Tư-Đa	Bashashita	바사사다 / Pasasada
Punyamitra	不如密多 / Bùrúmìduō	Bất-Như-Mật-Đa	Funamitta	불여밀다 / Punyŏmilta
Prajñātāra	般若多羅 / Bānruòduōluó	Bát-Nhã-Đa-La	Hannyatara	반야다라 / Panyadara
धर्म / Dharma	達磨 / Dámó	Đạt-Ma	だるま / Daruma	달마 / Dalma
