Week	Opponent	Result	Game site	Attendance
1	at Denver Broncos	L 7–9	Mile High Stadium	74,796
2	at Minnesota Vikings	W 36–10	Metropolitan Stadium	47,186
3	Seattle Seahawks	W 20–10	Oakland-Alameda County Coliseum	45,725
4	at Detroit Lions	L 0–16	Pontiac Silverdome	77,819
5	Denver Broncos	L 0–17	Oakland-Alameda County Coliseum	51,035
6	at Kansas City Chiefs	L 0–27	Arrowhead Stadium	76,543
7	Tampa Bay Buccaneers	W 18–16	Oakland-Alameda County Coliseum	42,288
8	Kansas City Chiefs	L 17–28	Oakland-Alameda County Coliseum	42,914
9	New England Patriots	W 27–17	Oakland-Alameda County Coliseum	44,246
10	at Houston Oilers	L 16–17	Houston Astrodome	45,519
11	at Miami Dolphins	W 33–17	Miami Orange Bowl	61,777
12	San Diego Chargers	L 21–55	Oakland-Alameda County Coliseum	50,199
13	at Seattle Seahawks	W 32–31	The Kingdome	57,147
14	Pittsburgh Steelers	W 30–27	Oakland-Alameda County Coliseum	51,769
15	Chicago Bears	L 6–23	Oakland-Alameda County Coliseum	40,384
16	at San Diego Chargers	L 10–23	San Diego Stadium	52,279
