Place	Player	Country	Score	To par
1	Tom Watson	United States	65-70-71=206	−4
T2	Ross Fisher	England	69-68-70=207	−3
T2	Mathew Goggin	Australia	66-72-69=207	−3
T4	Retief Goosen	South Africa	67-70-71=208	−2
T4	Lee Westwood	England	68-70-70=208	−2
T6	Stewart Cink	United States	66-72-71=209	−1
T6	Jim Furyk	United States	67-72-70=209	−1
T8	Bryce Molder	United States	70-73-67=210	E
T8	Thongchai Jaidee	Thailand	69-72-69=210	E
T10	Ángel Cabrera	Argentina	69-70-72=211	+1
T10	Richard S. Johnson	Sweden	70-72-69=211	+1
T10	Steve Marino	United States	67-68-76=211	+1
T10	Boo Weekley	United States	67-72-72=211	+1
