Model	Sensor res., size	Lens(35mmequiv.) zoom, aperture	Screen size,pixels	Dimensions W×H×D (mm)	Weight
S01	10.1 MP 3648×2736 1/2.9"	29–87mm (3×) f /3.3–5.9	2.5" 230k-dot	77×51.2×17.2	96 g (w/batt.)
S30	10.1 MP 3648×2736 1/3"	29.1–87.3mm (3×) f /3.3-5.9	2.7" 230k-dot	101.9×64.8×39.4	214 g (w/batt.)
S800c	16.0 MP 4608×3456 1/2.3"	25–250mm (10×) f /3.2–5.8	3.5" 819k-dot	111.4×60.0×27.2	184 g (w/batt.)
S1200pj	14.1 MP 4320×3240 1/2.3"	28–140mm (5×) f /3.9–5.8	3" 460k-dot	107×63.4×22.6	186 g (w/batt.)
S2600	14.0 MP 4320×3240 1/2.3"	26–130mm (5×) f /3.2–6.5	2.7" 230k-dot	93.8×58.4×19.5	121 g (w/batt.)
S3300	16.0 MP 4608×3456 1/2.3"	26–156mm (6×) f /3.5–6.5	2.7" 230k-dot	94.8×57.8×19.5	128 g (w/batt.)
S4300	16.0 MP 4608×3456 1/2.3"	26–156mm (6×) f /3.5–6.5	3" 460k-dot	95.5×58.9×20.8	139 g (w/batt.)
S6300	16.0 MP 4608×3456 1/2.3"	25–250mm (10×) f /3.2–5.8	2.7" 230k-dot	93.6×57.7×26.0	160 g (w/batt.)
S6400	16.0 MP 4608×3456 1/2.3"	25–300mm (12×) f /3.1–6.5	3.0" 460k-dot	95.4×58.6×26.7	150 g (w/batt.)
S9200	16.0 MP 4608×3456 1/2.3"	25–450mm (18×) f /3.5–5.9	3" 921k-dot	108.7×59.8×30.6	209 g (w/batt.)
S9300	16.0 MP 4608×3456 1/2.3"	25–450mm (18×) f /3.5–5.9	3" 921k-dot	108.7×62.3×30.6	215 g (w/batt.)
