City	Country	IATA	ICAO	Airport
Abu Dhabi	United Arab Emirates	AUH	OMAA	Abu Dhabi International Airport
Amsterdam	Netherlands	AMS	EHAM	Schiphol Airport #
Athens	Greece	ATH	LGAT	Ellinikon International Airport #
Baghdad	Iraq	BGW	ORBI	Baghdad International Airport #
Bahrain	Bahrain	BAH	OBBI	Bahrain International Airport #
Bangkok	Thailand	DMK	VTBD	Don Mueang International Airport #
Bangkok	Thailand	BKK	VTBS	Suvarnabhumi Airport
Barisal	Bangladesh	BZL	VGBR	Barisal Airport #
Brussels	Belgium	BRU	EBBR	Brussels Airport #
Chittagong	Bangladesh	CGP	VGEG	Shah Amanat International Airport
Comilla	Bangladesh	CLA	VGCM	Comilla STOLport #
Cox's Bazar	Bangladesh	CXB	VGCB	Cox's Bazar Airport #
Dammam	Saudi Arabia	DMM	OEDF	King Fahd International Airport
Delhi	India	DEL	VIDP	Indira Gandhi International Airport
Dhaka	Bangladesh	DAC	VGHS	Shahjalal International Airport †
Doha	Qatar	DOH	OTBD	Doha International Airport
Dubai	United Arab Emirates	DXB	OMDB	Dubai International Airport
Frankfurt	Germany	FRA	EDDF	Frankfurt Airport #
Hong Kong	Hong Kong	HKG	VHHH	Hong Kong International Airport
Ishurdi	Bangladesh	IRD	VGIS	Ishurdi STOLport #
Jeddah	Saudi Arabia	JED	OEJN	King Abdulaziz International Airport
Jessore	Bangladesh	JSR	VGJR	Jessore Airport #
Karachi	Pakistan	KHI	OPKC	Jinnah International Airport #
Kathmandu	Nepal	KTM	VNKT	Tribhuvan International Airport
Kolkata	India	CCU	VECC	Netaji Subhash Chandra Bose International Airport
Kuala Lumpur	Malaysia	KUL	WMKK	Kuala Lumpur International Airport
Kuwait	Kuwait	KWI	OKBK	Kuwait International Airport
London	United Kingdom	LHR	EGLL	London Heathrow Airport
Manchester	United Kingdom	MAN	EGCC	Manchester Airport #
Milan	Italy	MXP	LIMC	Malpensa Airport #
Mumbai	India	BOM	VABB	Chhatrapati Shivaji International Airport #
Muscat	Oman	MCT	OOMS	Muscat International Airport
New York City	United States	JFK	KJFK	John F. Kennedy International Airport #
Paris	France	ORY	LFPO	Orly Airport #
Rajshahi	Bangladesh	RJH	VGRJ	Shah Makhdum Airport #
Riyadh	Saudi Arabia	RUH	OERK	King Khalid International Airport
Rome	Italy	FCO	LIRF	Leonardo da Vinci-Fiumicino Airport
Saidpur	Bangladesh	SPD	VGSD	Saidpur Airport #
Singapore	Singapore	SIN	WSSS	Singapore Changi Airport
Sylhet	Bangladesh	ZYL	VGSY	Osmani International Airport
Thakurgaon	Bangladesh	TKR	VGSG	Thakurgaon STOLport #
Tokyo	Japan	NRT	RJAA	Narita Airport #
Tripoli	Libya	TIP	HLLT	Tripoli International Airport #
Yangon resumes 2013-12-9	Burma	RGN	VYYY	Yangon International Airport ‡
