Entrant	Constructor	Chassis	Engine †	Tyre	Driver	Rounds
Scuderia Ferrari Marlboro	Ferrari	F2001 F2002	Ferrari 050 Ferrari 051	B	Michael Schumacher	All
Scuderia Ferrari Marlboro	Ferrari	F2001 F2002	Ferrari 050 Ferrari 051	B	Rubens Barrichello	All
West McLaren Mercedes	McLaren - Mercedes	MP4-17	Mercedes FO110M	M	David Coulthard	All
West McLaren Mercedes	McLaren - Mercedes	MP4-17	Mercedes FO110M	M	Kimi Räikkönen	All
BMW WilliamsF1 Team	Williams - BMW	FW24	BMW P82	M	Ralf Schumacher	All
BMW WilliamsF1 Team	Williams - BMW	FW24	BMW P82	M	Juan Pablo Montoya	All
Sauber Petronas	Sauber - Petronas	C21	Petronas 02A	B	Nick Heidfeld	All
Sauber Petronas	Sauber - Petronas	C21	Petronas 02A	B	Felipe Massa	1-15, 17
Sauber Petronas	Sauber - Petronas	C21	Petronas 02A	B	Heinz-Harald Frentzen	16
DHL Jordan Honda	Jordan - Honda	EJ12	Honda RA002E	B	Giancarlo Fisichella	All
DHL Jordan Honda	Jordan - Honda	EJ12	Honda RA002E	B	Takuma Sato	All
Lucky Strike BAR Honda	BAR - Honda	004	Honda RA002E	B	Jacques Villeneuve	All
Lucky Strike BAR Honda	BAR - Honda	004	Honda RA002E	B	Olivier Panis	All
Mild Seven Renault F1 Team	Renault	R202	Renault RS22	M	Jarno Trulli	All
Mild Seven Renault F1 Team	Renault	R202	Renault RS22	M	Jenson Button	All
Jaguar Racing	Jaguar - Cosworth	R3 R3B	Cosworth CR-3 Cosworth CR-4	M	Eddie Irvine	All
Jaguar Racing	Jaguar - Cosworth	R3 R3B	Cosworth CR-3 Cosworth CR-4	M	Pedro de la Rosa	All
Orange Arrows	Arrows - Cosworth	A23	Cosworth CR-3 Cosworth CR-4	B	Heinz-Harald Frentzen	1-12
Orange Arrows	Arrows - Cosworth	A23	Cosworth CR-3 Cosworth CR-4	B	Enrique Bernoldi	1-12
Go KL Minardi Asiatech	Minardi - Asiatech	PS02	Asiatech AT02	M	Alex Yoong	1-12, 15-17
Go KL Minardi Asiatech	Minardi - Asiatech	PS02	Asiatech AT02	M	Anthony Davidson	13-14
Go KL Minardi Asiatech	Minardi - Asiatech	PS02	Asiatech AT02	M	Mark Webber	All
Panasonic Toyota Racing	Toyota	TF102	Toyota RVX-02	M	Mika Salo	All
Panasonic Toyota Racing	Toyota	TF102	Toyota RVX-02	M	Allan McNish	All
