Position	Pilot	Country	Glider	Points
1	Sebastian Kawa	Poland	Diana Sailplanes - Diana 2	69
2	Carlos Rocca Vidal	Chile	Schempp-Hirth Flugzeugbau GmbH - Ventus 2b	55
3	Mario Kiessling	Germany	Schempp-Hirth Flugzeugbau GmbH - Ventus 2ax	47
4	Uli Schwenk	Germany	Schempp-Hirth Flugzeugbau GmbH - Ventus 2ax	40
5	Thomas Gostner	Italy	Diana Sailplanes - Diana 2	43
6	Tilo Holighaus	Germany	Schempp-Hirth Flugzeugbau GmbH - Ventus 2ax	24
7	Wolfgang Janowitsch	Austria	Schempp-Hirth Flugzeugbau GmbH - Ventus 2cxa	15
8	Rene Vidal	Chile	Schempp-Hirth Flugzeugbau GmbH - Ventus 2c	14
8	Stanislaw Wujczak	Poland	Alexander Schleicher GmbH & Co - ASG 29	14
10	Eduard Supersperger	Austria	Schempp-Hirth Flugzeugbau GmbH - Ventus 2b	12
11	Heimo Demmerer	Austria	Schempp-Hirth Flugzeugbau GmbH - Ventus 2b	11
12	Patrick Puskeiler	Germany	Schempp-Hirth Flugzeugbau GmbH - Discus 2ax	8
13	Petr Krejcirik	Czech Republic	Schempp-Hirth Flugzeugbau GmbH - Ventus 2ax	4
13	Graham Parker	Australia	Alexander Schleicher GmbH & Co - ASG 29	4
15	Olli Teronen	Finland	Alexander Schleicher GmbH & Co - ASG 29	2
