Place	Player	Country	Score	To par	Money ( $ )
1	Andy North	United States	70-70-71-74=285	+1	45,000
T2	J. C. Snead	United States	70-72-72-72=286	+2	19,750
T2	Dave Stockton	United States	71-73-70-72=286	+2	19,750
T4	Hale Irwin	United States	69-74-75-70=288	+4	13,000
T4	Tom Weiskopf	United States	77-73-70-68=288	+4	13,000
T6	Andy Bean	United States	72-72-71-74=289	+5	7,548
T6	Billy Kratzert	United States	72-74-70-73=289	+5	7,548
T6	Johnny Miller	United States	78-69-68-74=289	+5	7,548
T6	Jack Nicklaus	United States	73-69-74-73=289	+5	7,548
T6	Gary Player	South Africa	71-71-70-77=289	+5	7,548
T6	Tom Watson	United States	74-75-70-70=289	+5	7,548
