Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
29 November 1987	Buenos Aires , Argentina	Clay	Sergio Casal	Jay Berger Horacio de la Peña	walkover
17 September 1989	Madrid , Spain	Clay	Carlos Costa	Francisco Clavet Tomáš Šmíd	7–5, 6–3
1 October 1989	Bordeaux , France	Clay	Carlos di Laura	Agustín Moreno Jaime Yzaga	6–4, 6–3
24 June 1990	Genoa , Italy	Clay	Udo Riglewski	Cristiano Caratti Federico Mordegan	7–6, 7–6
16 September 1990	Bordeaux , France	Clay	Libor Pimek	Mansour Bahrami Yannick Noah	6–3, 6–7, 6–2
4 August 1991	Kitzbühel , Austria	Clay	Francisco Roig	Pablo Arraya Dimitri Poliakov	6–7, 6–2, 6–4
12 July 1992	Båstad , Sweden	Clay	Christian Miniussi	Christian Bergström Magnus Gustafsson	6–4, 7–5
11 October 1992	Athens , Greece	Clay	Francisco Roig	Marcelo Filippini Mark Koevermans	6–3, 6–4
2 May 1993	Madrid , Spain	Clay	Carlos Costa	Luke Jensen Scott Melville	7–6, 6–2
13 June 1993	Florence , Italy	Clay	Libor Pimek	Mark Koevermans Greg Van Emburgh	7–6, 2–6, 6–1
14 November 1993	Buenos Aires , Argentina	Clay	Carlos Costa	Sergio Casal Emilio Sánchez	6–4, 6–4
26 March 1995	Casablanca , Morocco	Clay	Francisco Roig	Emanuel Couto João Cunha e Silva	6–4, 6–1
16 June 1995	Oporto , Portugal	Clay	Francisco Roig	Jordi Arrese Àlex Corretja	6–3, 7–6
23 July 1995	Stuttgart Outdoor , Germany	Clay	Francisco Roig	Ellis Ferreira Jan Siemerink	3–6, 6–3, 6–4
8 October 1995	Valencia , Spain	Clay	Francisco Roig	Tom Kempers Jack Waite	7–5, 6–3
14 April 1996	Estoril , Portugal	Clay	Francisco Roig	Tom Nijssen Greg Van Emburgh	6–3, 6–2
11 April 1999	Estoril , Portugal	Clay	Donald Johnson	Jiří Novák David Rikl	6–3, 2–6, 6–1
19 September 1999	Majorca , Spain	Clay	Lucas Arnold	Alberto Berasategui Francisco Roig	6–1, 6–4
1 October 2000	Palermo , Italy	Clay	Martín García	Pablo Albano Marc-Kevin Goellner	walkover
18 February 2001	Viña del Mar , Chile	Clay	Lucas Arnold	Mariano Hood Sebastián Prieto	6–4, 2–6, 6–3
25 February 2001	Buenos Aires , Argentina	Clay	Lucas Arnold	Mariano Hood Sebastián Prieto	5–7, 7–5, 7–6 (7–5)
30 September 2001	Palermo , Italy	Clay	Daniel Orsanic	Enzo Artoni Emilio Benfele	6–2, 2–6, 6–2
