Irrigation District	Juntas de Regantes (WUB)	Asociaciones (WUA) (#)	Tareas (15.9 tareas = 1 ha)	Users (#)
Alto Yaque del Norte	Ulises Francisco Espaillat	10	392336	5827
Alto Yaque del Norte	Monsieur Bogaert	5	211040	2416
Alto Yaque del Norte	Mao	8	171360	1775
Bajo Yaque del Norte	General Fernando Valerio	7	374848	4014
Bajo Yaque del Norte	Horacio Vasquez	5	180416	2146
Bajo Yaque del Norte	Dajabon	4	49744	1090
Yuna-Camu	Camu	6	91840	1494
Yuna-Camu	Rincon	3	133920	1421
Yuna-Camu	Hatillo	5	195152	1598
Yuna-Camu	Yuna	6	61548	1286
Yuna-Camu	Constanza	6	44660	1575
Yuna-Camu	Jarabacoa	2	9056	415
Bajo Yuna	Aglipo	8	124128	3152
Bajo Yuna	Boba	5	47041	2461
Bajo Yuna	Aglipo II	4	83520	1541
Bajo Yuna	Limon del Yuna	4	123344	1394
Bajo Yuna	Villa Riva	2	78160	3160
Bajo Yuna	Nizao-Valdiviesa	12	299349	4495
Del Este	Nisibon-Yuma	5	28500	422
Del Este	General Gregorio Luperon	4	37680	581
Del Este	La Esperanza	4	142576	1008
Del Este	Independent Association	1	21733	303
Azua Valley	Ysura	11	331102	8430
Azua Valley	Padre las Casas	5	42000	786
San Juan Valley	Valle de San Juan	6	256352	6180
San Juan Valley	Independent Association	1	63136	800
San Juan Valley	Independent Association	1	35857	857
Enriquillo	Neyba	9	267808	4733
Enriquillo	Tamayo	10	353184	4012
Yaque del Sur	Pedernales	4	10064	241
