Res.	Record	Opponent	Method	Event	Round	Location
Win	16-5	Wataru Inatsu	KO (punches)	ZST 9 - The Battle Field 9	1	Tokyo , Japan
Loss	15-5	Katsuhiko Nagata	Decision (unanimous)	K-1 PREMIUM 2005 Dynamite!!	2	Osaka , Japan
Win	15-4	Ramazi Jakharydze	KO (head kick)	Hero's Lithuania 2005	1	Vilnius , Lithuania
Loss	14-4	Hiroyuki Takaya	TKO (punches)	Hero's 3	2	Tokyo , Japan
Win	14-3	Takehiro Murahama	KO (left hook)	Hero's 2	1	Tokyo , Japan
Win	13-3	Danny van Bergen	Submission (armbar)	Shooto Lithuania - Chaosas	1	Vilnius , Lithuania
Win	12-3	Masahiro Oishi	KO (punches)	ZST Grand Prix 2 - Final Round, Final	1	Tokyo , Japan
Win	11-3	Hirotaka Miyakawa	KO (knee)	ZST Grand Prix 2 - Final Round, Semi Finals	1	Tokyo , Japan
Win	10-3	Jakob Shaap	Submission (triangle choke)	Shooto Lithuania - Bushido	1	Vilnius , Lithuania
Win	9-3	Boulem Belaini	KO (knee & punches)	ZST Grand Prix 2 - Opening Round	1	Tokyo , Japan
Loss	8-3	Naoyuki Kotani	Submission (armbar)	ZST - Battle Hazard 1	1	Tokyo , Japan
Loss	8-2	Hideo Tokoro	Submission (triangle choke)	ZST 5 - The Battle Field 5	1	Tokyo , Japan
Win	8-1	Artemij Sitenkov	Submission (guillotine choke)	Shooto Lithuania - Vendetta	1	Vilnius , Lithuania
Win	7-1	Takahiro Uchiyama	KO (punch)	ZST - GT-F	1	Tokyo , Japan
Loss	6-1	Marcus Aurélio	Submission (triangle choke)	ZST Grand Prix - Final Round, Semi Finals	1	Tokyo , Japan
Win	6-0	Takumi Yano	KO (slam)	ZST Grand Prix - Final Round, Quarter Finals	1	Tokyo , Japan
Win	5-0	Menno Dijkstra	KO (knee)	ZST Grand Prix - Opening Round	1	Tokyo , Japan
Win	4-0	Atsuhiro Tsuboi	KO (knee)	ZST 4 - The Battle Field 4	1	Tokyo , Japan
Win	3-0	Hideo Tokoro	KO (knees)	ZST 3 - The Battle Field 3	1	Tokyo , Japan
Win	2-0	Atsuhiro Tsuboi	KO (knee)	ZST 2 - The Battle Field 2	2	Tokyo , Japan
Win	1-0	Darius Balulis	Submission (rear-naked choke)	RF 2002 - Vol. 2	2	Lithuania
